Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,4.09,4.24,3.85,4.22,421072,33304300
2017-11-23,4.42,4.44,4.09,4.09,453356,35993000
2017-11-22,4.19,4.52,4.18,4.42,372263,34126300
2017-11-21,4.55,4.56,4.01,4.18,405529,37065600
2017-11-20,4.33,4.62,4.29,4.56,419098,35275000
2017-11-19,4.62,4.65,4.37,4.37,396771,37636200
2017-11-18,4.43,4.64,4.37,4.62,453028,36057500
2017-11-17,4.55,4.80,4.27,4.44,353765,37099400
2017-11-16,4.25,4.55,4.02,4.55,388858,34599900
2017-11-15,4.37,4.48,4.06,4.24,380953,35582100
2017-11-14,4.19,4.47,4.19,4.37,245298,34137200
2017-11-13,4.23,4.54,4.11,4.17,231715,34488600
2017-11-12,4.67,4.67,4.10,4.23,272079,38058900
2017-11-11,4.87,4.99,4.41,4.67,261436,39704400
2017-11-10,4.95,5.16,4.56,4.89,333317,40288000
2017-11-09,4.74,5.06,4.71,4.95,352141,38594200
2017-11-08,4.54,4.80,4.52,4.74,258137,36997800
2017-11-07,4.42,4.72,4.33,4.55,202920,35980500
2017-11-06,4.42,4.49,4.24,4.42,363596,35996400
2017-11-05,4.66,4.81,4.40,4.41,350035,37978100
2017-11-04,5.56,5.64,4.09,4.69,667656,45269500
2017-11-03,5.58,5.86,5.54,5.56,279819,45489700
2017-11-02,5.97,6.07,5.57,5.58,211908,48658000
2017-11-01,5.73,5.96,5.44,5.96,196202,46665700
2017-10-31,7.69,7.69,5.30,5.73,401184,62676000
2017-10-30,5.85,7.69,5.46,7.69,437288,47621700
2017-10-29,5.71,6.01,5.68,5.86,278535,46477700
2017-10-28,5.70,5.74,5.57,5.71,230103,46407500
2017-10-27,5.72,5.78,5.51,5.69,262102,46591000
2017-10-26,5.79,5.85,5.54,5.72,263068,47150700
2017-10-25,5.61,5.81,5.48,5.79,255473,45694800
2017-10-24,5.37,5.86,5.24,5.61,282020,43773100
2017-10-23,5.76,5.88,5.23,5.38,323702,46911400
2017-10-22,6.00,6.03,5.55,5.76,295771,48892300
2017-10-21,6.15,6.15,5.95,6.01,279863,50068000
2017-10-20,5.84,6.22,5.65,6.16,341093,47605900
2017-10-19,5.77,5.89,5.70,5.85,243800,46977000
2017-10-18,5.62,5.78,5.22,5.77,286335,45769900
2017-10-17,5.70,5.72,5.52,5.62,285281,46398300
2017-10-16,5.52,5.74,5.50,5.70,270387,44940900
2017-10-15,5.37,5.70,4.97,5.51,291721,43740500
2017-10-14,5.50,5.62,5.34,5.36,178742,44841500
2017-10-13,5.28,5.62,5.06,5.49,378121,43005000
2017-10-12,4.74,5.27,4.73,5.27,229233,38612500
2017-10-11,4.62,4.80,4.34,4.74,261534,37671200
2017-10-10,4.68,4.81,4.56,4.62,220019,38162000
2017-10-09,4.47,4.70,4.33,4.67,228714,36434100
2017-10-08,4.41,4.53,4.14,4.48,262881,35913700
2017-10-07,4.18,4.44,4.16,4.42,211369,34011000
2017-10-06,4.04,4.18,4.03,4.17,183617,32896000
2017-10-05,3.90,4.10,3.86,4.03,175330,31780200
2017-10-04,4.00,4.00,3.74,3.90,153489,32545500
