Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.018289,0.019811,0.017093,0.018721,1089,17418600
2017-11-23,0.027332,0.027402,0.017594,0.018324,672,26032100
2017-11-22,0.030942,0.031195,0.024757,0.027290,615,29470500
2017-11-21,0.030495,0.035326,0.025204,0.030990,1636,29043800
2017-11-20,0.018857,0.036224,0.018191,0.030489,423953,17959600
2017-11-19,0.017805,0.023998,0.017538,0.018865,198,16958500
2017-11-18,0.017576,0.020667,0.013179,0.017839,191,16740200
2017-11-17,0.015742,0.017943,0.012672,0.017638,527,14993200
2017-11-16,0.028397,0.030439,0.012597,0.015765,1492,27045800
2017-11-15,0.029061,0.033260,0.024776,0.028306,585,27678400
2017-11-14,0.034637,0.049994,0.021809,0.029041,1677,32988900
2017-11-13,0.042384,0.042946,0.022256,0.034582,8305,40368000
2017-11-12,0.023521,0.042323,0.011784,0.042323,7884,22402400
2017-11-11,0.018980,0.023703,0.008722,0.023521,2538,18077000
2017-11-10,0.011837,0.022116,0.010040,0.019046,2564,11273800
2017-11-09,0.011654,0.028858,0.009985,0.011804,3606,11099800
2017-11-08,0.011101,0.011959,0.004882,0.011684,2877,10573100
2017-11-07,0.013456,0.019245,0.011070,0.011136,484,12815800
2017-11-06,0.014070,0.015613,0.012592,0.013474,1513,13400300
2017-11-05,0.018905,0.019134,0.014039,0.014042,94,18005600
2017-11-04,0.015736,0.019272,0.010172,0.018935,497,14987800
2017-11-03,0.020187,0.033563,0.009831,0.015772,436,19226600
2017-11-02,0.016384,0.022605,0.012606,0.020095,6727,15605100
2017-11-01,0.021295,0.021749,0.014966,0.016366,365,20282000
2017-10-31,0.013368,0.029040,0.013240,0.021311,395,12732400
2017-10-30,0.019537,0.019537,0.012680,0.013376,8767,18607500
2017-10-29,0.025329,0.027136,0.016169,0.019646,1409,24124500
2017-10-28,0.018552,0.025389,0.015774,0.025342,7956,17669900
2017-10-27,0.021642,0.024220,0.013984,0.018503,1062,20612800
2017-10-26,0.016630,0.022963,0.016531,0.021638,384,15838700
2017-10-25,0.021854,0.021900,0.016417,0.016632,1131,20814900
2017-10-24,0.022747,0.023454,0.016017,0.021846,3121,21664700
2017-10-23,0.021510,0.025012,0.017933,0.022797,227860,20487200
2017-10-22,0.020788,0.021882,0.017682,0.021545,799,19799400
2017-10-21,0.021519,0.023699,0.020782,0.020782,968,20495000
2017-10-20,0.018488,0.022598,0.018321,0.021524,668,17608400
2017-10-19,0.025057,0.027842,0.018535,0.018535,2404,23864900
2017-10-18,0.022412,0.025158,0.018001,0.025047,1735,21345900
2017-10-17,0.027730,0.038633,0.019574,0.022411,201639,26411200
2017-10-16,0.027146,0.030874,0.020043,0.027715,6682,25854800
2017-10-15,0.025749,0.029775,0.018119,0.027141,5478,24524000
2017-10-14,0.019598,0.042889,0.019101,0.025699,3657,18665500
2017-10-13,0.020860,0.027247,0.015179,0.019592,2615,19867900
2017-10-12,0.032594,0.038773,0.020178,0.020797,14061,31043400
2017-10-11,0.020226,0.052810,0.017733,0.032100,139979,19264000
2017-10-10,0.029776,0.029937,0.019594,0.020229,344,28359900
2017-10-09,0.030153,0.041039,0.014315,0.029773,121052,28718500
2017-10-08,0.030135,0.030942,0.027682,0.030148,4016,28701000
2017-10-07,0.024760,0.034910,0.024634,0.030197,7989,-
2017-10-06,0.025573,0.034976,0.020769,0.024754,47734,-
2017-10-05,0.019451,0.032094,0.018516,0.025571,59258,-
2017-10-04,0.020407,0.027540,0.017278,0.019443,1298,-
2017-10-03,0.022527,0.032225,0.020211,0.020359,1787,-
2017-10-02,0.028375,0.054595,0.020417,0.022525,8010,-
2017-10-01,0.031761,0.035957,0.021040,0.028385,5012,-
2017-09-30,0.041783,0.046196,0.031435,0.031744,5725,-
2017-09-29,0.028961,0.054766,0.028961,0.041777,69996,-
