Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000883,0.000902,0.000585,0.000742,4,79806
2017-11-23,0.000886,0.001195,0.000853,0.000885,95,80123
2017-11-22,0.000649,0.000891,0.000646,0.000886,8,58695
2017-11-21,0.000742,0.000754,0.000638,0.000648,3,67125
2017-11-20,0.000751,0.000825,0.000673,0.000742,60,67887
2017-11-19,0.000778,0.000812,0.000691,0.000751,83,70352
2017-11-18,0.000999,0.000999,0.000621,0.000779,389,90370
2017-11-17,0.001083,0.001108,0.000918,0.001003,109,97890
2017-11-16,0.000900,0.001168,0.000800,0.001084,84,81390
2017-11-15,0.000914,0.001052,0.000888,0.000895,22,82675
2017-11-14,0.000915,0.000987,0.000844,0.000914,178,82716
2017-11-13,0.000584,0.000990,0.000584,0.000913,754,52790
2017-11-12,0.000897,0.001755,0.000374,0.000583,2529,81073
2017-11-11,0.000963,0.001352,0.000811,0.000897,636,87083
2017-11-10,0.000849,0.001057,0.000849,0.000967,144,76760
2017-11-09,0.000672,0.000847,0.000562,0.000846,520,60770
2017-11-08,0.000498,0.000796,0.000495,0.000673,569,45042
2017-11-07,0.000441,0.000500,0.000411,0.000500,15,39914
2017-11-06,0.000779,0.000784,0.000441,0.000442,38,70418
2017-11-05,0.000490,0.000946,0.000484,0.000778,1,44284
2017-11-04,0.000540,0.000602,0.000487,0.000487,2,48827
2017-11-03,0.000631,0.000652,0.000533,0.000541,90,57090
2017-11-02,0.000530,0.000751,0.000479,0.000632,137,47889
2017-11-01,0.000561,0.000612,0.000518,0.000528,5,50713
2017-10-31,0.000611,0.000639,0.000508,0.000563,53,55267
2017-10-30,0.000740,0.000822,0.000583,0.000613,79,66948
2017-10-29,0.000673,0.000795,0.000577,0.000745,85,60833
2017-10-28,0.000692,0.000704,0.000672,0.000674,10,62537
2017-10-27,0.000706,0.000719,0.000585,0.000690,7,63863
2017-10-26,0.000776,0.000784,0.000696,0.000706,7,70208
2017-10-25,0.000676,0.000949,0.000659,0.000777,107,61095
2017-10-24,0.000660,0.000686,0.000569,0.000675,44,59641
2017-10-23,0.000598,0.000789,0.000593,0.000662,23,54076
2017-10-22,0.000579,0.000781,0.000572,0.000599,30,52367
2017-10-21,0.000655,0.000766,0.000547,0.000579,281,59258
2017-10-20,0.000684,0.000777,0.000562,0.000602,437,61864
2017-10-19,0.000809,0.000809,0.000592,0.000684,187,73159
2017-10-18,0.001182,0.001182,0.000624,0.000809,1224,106854
2017-10-17,0.001088,0.001184,0.000902,0.001182,96,98402
2017-10-16,0.000911,0.001630,0.000895,0.001088,34,82349
2017-10-15,0.000958,0.000962,0.000842,0.000911,310,86669
2017-10-14,0.001496,0.001512,0.000926,0.000957,195,135245
2017-10-13,0.001597,0.001725,0.001030,0.001495,835,144436
2017-10-12,0.001374,0.001711,0.001287,0.001592,469,124206
2017-10-11,0.001387,0.001502,0.001151,0.001372,201,125449
2017-10-10,0.001414,0.001486,0.000947,0.001388,667,127892
2017-10-09,0.001365,0.001421,0.001025,0.001414,1709,123470
2017-10-08,0.001217,0.001372,0.000983,0.001365,1172,110030
2017-10-07,0.001197,0.001433,0.000826,0.001220,1906,108261
2017-10-06,0.000649,0.001614,0.000647,0.001197,5516,58645
2017-10-05,0.000633,0.000655,0.000623,0.000649,43,57256
2017-10-04,0.000589,0.000655,0.000572,0.000633,235,53216
2017-10-03,0.001097,0.001135,0.000583,0.000587,100,99197
2017-10-02,0.000620,0.001097,0.000530,0.001097,317,56088
2017-10-01,0.000621,0.000743,0.000612,0.000621,63,56165
2017-09-30,0.000573,0.000621,0.000559,0.000621,19,51783
2017-09-29,0.000395,0.000574,0.000381,0.000573,220,35673
2017-09-28,0.000337,0.000539,0.000333,0.000395,23,30437
2017-09-27,0.000458,0.000503,0.000335,0.000337,101,41397
2017-09-26,0.000457,0.000517,0.000437,0.000459,17,41284
2017-09-25,0.000477,0.000626,0.000440,0.000452,31,43170
2017-09-24,0.000455,0.000547,0.000441,0.000478,4,41145
2017-09-23,0.000468,0.000484,0.000333,0.000455,124,42326
2017-09-22,0.000507,0.000767,0.000426,0.000469,209,45878
2017-09-21,0.000543,0.000824,0.000503,0.000508,30,49110
2017-09-20,0.000624,0.000625,0.000354,0.000546,62,56424
2017-09-19,0.000609,0.000640,0.000579,0.000625,12,55032
2017-09-18,0.000553,0.000631,0.000552,0.000607,7,50041
2017-09-17,0.000557,0.000569,0.000491,0.000554,5,50402
2017-09-16,0.000709,0.000741,0.000495,0.000557,11,64116
2017-09-15,0.000486,0.000729,0.000486,0.000711,24,43974
2017-09-14,0.000581,0.000589,0.000419,0.000483,7,52563
2017-09-13,0.000671,0.000673,0.000566,0.000581,32,60640
