Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000161,0.000167,0.000158,0.000166,58,-
2017-11-23,0.000163,0.000164,0.000161,0.000161,56,-
2017-11-20,0.000241,0.000247,0.000238,0.000247,1,-
2017-11-19,0.000156,0.000243,0.000154,0.000241,5,-
2017-11-17,0.000157,0.000161,0.000151,0.000156,2,-
2017-11-16,0.000219,0.000226,0.000154,0.000157,2,-
2017-11-15,0.000216,0.000220,0.000214,0.000218,1,-
2017-11-14,0.000131,0.000134,0.000130,0.000131,2,-
2017-11-13,0.000117,0.000135,0.000117,0.000130,2,-
2017-11-12,0.000127,0.000129,0.000111,0.000117,18,-
2017-11-11,0.000197,0.000204,0.000125,0.000127,2,-
2017-11-10,0.000142,0.000202,0.000130,0.000198,11,-
2017-11-05,0.000148,0.000152,0.000146,0.000151,3,-
2017-11-04,0.000147,0.000151,0.000146,0.000148,3,-
2017-11-03,0.000211,0.000224,0.000208,0.000216,3,-
2017-11-02,0.000212,0.000219,0.000205,0.000211,3,-
2017-11-01,0.000193,0.000199,0.000191,0.000197,1,-
2017-10-31,0.000245,0.000256,0.000183,0.000193,10,-
2017-10-30,0.000246,0.000247,0.000121,0.000246,23,-
2017-10-29,0.000172,0.000253,0.000171,0.000248,3,-
2017-10-28,0.000173,0.000176,0.000170,0.000172,1,-
2017-10-27,0.000118,0.000178,0.000116,0.000172,1,-
2017-10-26,0.000172,0.000238,0.000116,0.000118,6,-
2017-10-25,0.000166,0.000172,0.000161,0.000172,2,-
2017-10-24,0.000117,0.000229,0.000111,0.000165,134,-
2017-10-23,0.000120,0.000121,0.000113,0.000118,2,-
2017-10-22,0.000180,0.000182,0.000117,0.000120,1,-
2017-10-21,0.000120,0.000184,0.000119,0.000180,32,-
2017-10-20,0.000171,0.000172,0.000112,0.000120,4,-
2017-10-19,0.000112,0.000172,0.000111,0.000171,1,-
2017-10-18,0.000104,0.000112,0.000104,0.000112,4,-
2017-10-13,0.000163,0.000176,0.000162,0.000167,1,-
2017-10-12,0.000145,0.000163,0.000098,0.000163,46,-
2017-10-11,0.000143,0.000146,0.000142,0.000145,1,-
2017-10-10,0.000191,0.000194,0.000142,0.000143,19,-
2017-10-09,0.000184,0.000195,0.000182,0.000191,4,-
2017-10-08,0.000133,0.000184,0.000133,0.000184,1,-
2017-10-07,0.000131,0.000134,0.000130,0.000134,0,-
2017-10-04,0.000130,0.000130,0.000126,0.000126,8,-
2017-10-03,0.000176,0.000177,0.000127,0.000129,8,-
2017-10-02,0.000176,0.000177,0.000175,0.000176,2,-
2017-10-01,0.000130,0.000131,0.000128,0.000130,2,-
2017-09-30,0.000126,0.000174,0.000126,0.000130,48,-
2017-09-29,0.000126,0.000126,0.000121,0.000121,1,-
2017-09-28,0.000168,0.000170,0.000124,0.000126,1,-
2017-09-27,0.000117,0.000169,0.000117,0.000168,1,-
2017-09-26,0.000117,0.000119,0.000117,0.000117,1,-
2017-09-25,0.000110,0.000119,0.000110,0.000119,1,-
2017-09-24,0.000147,0.000150,0.000110,0.000110,2,-
2017-09-23,0.000108,0.000114,0.000107,0.000113,6,-
2017-09-22,0.000145,0.000147,0.000073,0.000109,191,-
2017-09-21,0.000154,0.000156,0.000143,0.000145,31,-
2017-09-19,0.000164,0.000165,0.000155,0.000156,0,-
2017-09-18,0.000111,0.000165,0.000111,0.000164,0,-
2017-09-17,0.000111,0.000114,0.000110,0.000111,17,-
2017-09-16,0.000111,0.000116,0.000107,0.000112,1,-
2017-09-15,0.000097,0.000115,0.000090,0.000112,1,-
2017-09-14,0.000155,0.000157,0.000097,0.000097,5,-
2017-09-13,0.000166,0.000167,0.000115,0.000155,12,-
2017-09-12,0.000169,0.000175,0.000129,0.000167,7,-
2017-09-11,0.000126,0.000169,0.000126,0.000168,2,-
2017-09-10,0.000130,0.000130,0.000121,0.000125,1,-
2017-09-09,0.000173,0.000174,0.000126,0.000130,4,-
2017-09-08,0.000092,0.000188,0.000092,0.000173,12,-
2017-09-07,0.000138,0.000141,0.000135,0.000138,3,-
2017-09-06,0.000138,0.000139,0.000137,0.000139,3,-
2017-09-05,0.000129,0.000129,0.000122,0.000123,6,-
2017-09-04,0.000185,0.000185,0.000125,0.000129,7,-
2017-09-03,0.000184,0.000189,0.000177,0.000185,0,-
2017-09-02,0.000197,0.000199,0.000180,0.000184,19,-
2017-09-01,0.000192,0.000197,0.000192,0.000197,0,-
2017-08-31,0.000137,0.000142,0.000137,0.000142,0,-
2017-08-30,0.000138,0.000140,0.000135,0.000138,2,-
2017-08-29,0.000176,0.000186,0.000174,0.000182,1,-
2017-08-28,0.000174,0.000176,0.000168,0.000175,3,-
2017-08-27,0.000130,0.000175,0.000130,0.000174,2,-
2017-08-25,0.000173,0.000179,0.000172,0.000177,2,-
2017-08-24,0.000169,0.000175,0.000168,0.000173,2,-
2017-08-22,0.000080,0.000080,0.000072,0.000076,20,-
2017-08-21,0.000081,0.000082,0.000080,0.000080,21,-
2017-08-20,0.000083,0.000083,0.000081,0.000081,20,-
2017-08-19,0.000123,0.000248,0.000081,0.000083,1408,-
2017-08-18,0.000173,0.000174,0.000123,0.000123,1,-
2017-08-17,0.000088,0.000090,0.000084,0.000087,22,-
2017-08-16,0.000125,0.000126,0.000087,0.000088,23,-
2017-08-15,0.000130,0.000133,0.000116,0.000124,6,-
2017-08-14,0.000162,0.000164,0.000122,0.000129,2,-
2017-08-13,0.000161,0.000165,0.000158,0.000162,0,-
2017-08-12,0.000110,0.000114,0.000108,0.000114,1,-
2017-08-11,0.000137,0.000140,0.000102,0.000110,75,-
2017-08-10,0.000100,0.000137,0.000100,0.000137,5,-
2017-08-09,0.000100,0.000101,0.000099,0.000100,0,-
2017-08-08,0.000102,0.000104,0.000101,0.000103,0,-
2017-08-07,0.000064,0.000102,0.000064,0.000102,10,-
2017-08-06,0.000098,0.000099,0.000063,0.000065,1,-
2017-08-05,0.000114,0.000128,0.000094,0.000098,5,-
2017-08-04,0.000114,0.000115,0.000057,0.000114,166,-
2017-08-03,0.000054,0.000055,0.000054,0.000055,2,-
2017-08-02,0.000055,0.000055,0.000053,0.000054,31,-
2017-08-01,0.000086,0.000087,0.000084,0.000084,1,-
2017-07-31,0.000082,0.000086,0.000081,0.000086,1,-
2017-07-30,0.000054,0.000055,0.000052,0.000055,1,-
2017-07-29,0.000110,0.000110,0.000054,0.000054,7,-
