Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.004976,0.005663,0.004958,0.005355,485,248300
2017-11-23,0.005311,0.005483,0.004968,0.004986,382,265033
2017-11-22,0.004975,0.005404,0.004830,0.005334,163,248229
2017-11-21,0.004852,0.005198,0.004405,0.004963,276,242117
2017-11-20,0.005148,0.005350,0.004833,0.004851,136,256864
2017-11-19,0.004965,0.005209,0.004666,0.005150,113,247765
2017-11-18,0.004623,0.005476,0.004443,0.004973,285,230696
2017-11-17,0.004327,0.004981,0.004280,0.004640,225,215907
2017-11-16,0.004908,0.004999,0.004293,0.004334,848,244910
2017-11-15,0.004239,0.004888,0.004239,0.004878,112,211505
2017-11-14,0.004274,0.005225,0.004151,0.004232,486,213248
2017-11-13,0.004067,0.004722,0.003930,0.004265,484,202916
2017-11-12,0.004639,0.005186,0.003923,0.004060,239,231489
2017-11-11,0.004672,0.004845,0.004409,0.004642,75,233149
2017-11-10,0.005076,0.005215,0.004609,0.004690,236,253267
2017-11-09,0.004930,0.005707,0.004884,0.005062,114,246001
2017-11-08,0.004989,0.005375,0.004552,0.004935,121,248950
2017-11-07,0.004660,0.005233,0.004639,0.005008,389,232548
2017-11-06,0.004467,0.005207,0.004196,0.004669,536,222914
2017-11-05,0.004902,0.005062,0.004416,0.004457,545,244622
2017-11-04,0.004861,0.005085,0.004788,0.004911,148,242567
2017-11-03,0.004752,0.005096,0.004721,0.004873,1345,237127
2017-11-02,0.005727,0.006573,0.004639,0.004758,1367,285782
2017-11-01,0.005517,0.005731,0.005351,0.005721,335,275307
2017-10-31,0.005241,0.005538,0.005183,0.005535,90,261502
2017-10-30,0.005103,0.005749,0.005030,0.005255,395,254630
2017-10-29,0.004860,0.005241,0.004763,0.005134,271,242526
2017-10-28,0.004980,0.005075,0.004829,0.004867,62,248493
2017-10-27,0.005302,0.005400,0.004769,0.004962,118,264548
2017-10-26,0.004867,0.007597,0.004819,0.005301,1339,242843
2017-10-25,0.004578,0.005483,0.004451,0.004868,276,228458
2017-10-24,0.005214,0.005214,0.004553,0.004572,136,260150
2017-10-23,0.005015,0.005609,0.004687,0.005226,130,250236
2017-10-22,0.005105,0.005455,0.004932,0.005023,108,254755
2017-10-21,0.005170,0.005601,0.004734,0.005106,84,257965
2017-10-20,0.005966,0.006201,0.004947,0.005179,80,297703
2017-10-19,0.005047,0.007511,0.005009,0.005999,131,251839
2017-10-18,0.005205,0.005364,0.004724,0.005045,70,259738
2017-10-17,0.005537,0.005952,0.005024,0.005205,215,276272
2017-10-16,0.005259,0.010924,0.005207,0.005536,308,262392
2017-10-15,0.005692,0.005851,0.004732,0.005258,75,284019
2017-10-14,0.005425,0.005882,0.005367,0.005682,52,270679
2017-10-13,0.006161,0.006671,0.005328,0.005423,632,307405
2017-10-12,0.005541,0.006142,0.005526,0.006142,114,276464
