Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.008037,0.008339,0.007884,0.008062,2,-
2017-11-23,0.011598,0.011654,0.008048,0.008048,4,-
2017-11-22,0.011360,0.011658,0.011312,0.011601,2,-
2017-11-21,0.011363,0.011521,0.011171,0.011332,1,-
2017-11-20,0.011663,0.011689,0.011523,0.011658,1,-
2017-11-19,0.008488,0.011762,0.008389,0.011668,1,-
2017-11-18,0.008148,0.008569,0.007887,0.008504,8,-
2017-11-17,0.012081,0.012365,0.008069,0.008179,4,-
2017-11-16,0.011134,0.012324,0.011134,0.012101,1,-
2017-11-14,0.006923,0.007124,0.006812,0.006852,12,-
2017-11-13,0.009863,0.010807,0.006649,0.006908,12,-
2017-11-12,0.007061,0.010811,0.006146,0.009849,1,-
2017-11-11,0.007561,0.007832,0.006917,0.007066,3,-
2017-11-10,0.008555,0.008801,0.007419,0.007588,5,-
2017-11-09,0.008614,0.008685,0.008501,0.008529,7,-
2017-11-08,0.010105,0.011137,0.010045,0.011137,3,-
2017-11-07,0.012653,0.012769,0.009960,0.010137,3,-
2017-11-05,0.010549,0.010884,0.010444,0.010762,1,-
2017-11-04,0.012757,0.013438,0.010567,0.010569,2,-
2017-11-03,0.011448,0.013075,0.011320,0.012790,24,-
2017-11-02,0.010766,0.011699,0.010766,0.011463,1,-
2017-11-01,0.010568,0.010774,0.010431,0.010754,1,-
2017-10-31,0.008701,0.010576,0.008677,0.010576,19,-
2017-10-30,0.008681,0.008731,0.008661,0.008731,9,-
2017-10-29,0.008134,0.008533,0.008112,0.008486,26,-
2017-10-28,0.008357,0.009507,0.008120,0.008145,27,-
2017-10-27,0.008357,0.008376,0.008325,0.008334,1,-
2017-10-26,0.009404,0.009814,0.009343,0.009599,1,-
2017-10-25,0.008553,0.009422,0.007738,0.009406,17,-
2017-10-24,0.009678,0.009678,0.008200,0.008550,14,-
2017-10-23,0.009686,0.009891,0.008213,0.009700,5,-
2017-10-22,0.008539,0.009789,0.008162,0.009702,1,-
2017-10-21,0.008587,0.008884,0.008482,0.008537,7,-
2017-10-20,0.008100,0.009459,0.007981,0.008605,2,-
2017-10-19,0.007934,0.009416,0.007861,0.008098,39,-
2017-10-18,0.009241,0.009241,0.007394,0.007930,9,-
2017-10-17,0.008669,0.009323,0.008310,0.009241,11,-
2017-10-16,0.008082,0.008712,0.007962,0.008667,25,-
2017-10-15,0.008309,0.008336,0.007747,0.008081,1,-
2017-10-14,0.008031,0.008305,0.007943,0.008294,19,-
2017-10-13,0.007780,0.008780,0.007730,0.008029,4,-
2017-10-12,0.006853,0.008229,0.006836,0.007756,27,-
2017-10-11,0.007144,0.007174,0.006755,0.006847,13,-
2017-10-10,0.007179,0.007350,0.007093,0.007145,1,-
2017-10-09,0.006490,0.007305,0.006463,0.007180,1,-
2017-10-08,0.006438,0.006503,0.006409,0.006488,1,-
2017-10-06,0.006485,0.006637,0.006472,0.006612,0,-
2017-10-05,0.006332,0.006550,0.006226,0.006486,0,-
2017-10-04,0.005572,0.006351,0.005541,0.006326,24,-
2017-10-03,0.006208,0.006243,0.005512,0.005560,6,-
2017-10-02,0.006196,0.006295,0.005672,0.006208,15,-
2017-10-01,0.006126,0.006198,0.005642,0.006198,6,-
2017-09-30,0.005883,0.006436,0.005877,0.006123,59,-
2017-09-29,0.005661,0.005933,0.005399,0.005882,49,-
2017-09-28,0.005301,0.008078,0.005243,0.005666,50,-
2017-09-27,0.005932,0.009820,0.005112,0.005301,451,-
2017-09-26,0.004838,0.004897,0.004754,0.004831,0,-
2017-09-25,0.005733,0.005733,0.004452,0.004838,58,-
2017-09-24,0.005152,0.005152,0.004949,0.004998,0,-
2017-09-23,0.005060,0.005189,0.005060,0.005153,0,-
2017-09-20,0.005636,0.005828,0.005538,0.005828,0,-
2017-09-19,0.005733,0.005829,0.005592,0.005643,0,-
2017-09-18,0.003880,0.004336,0.003880,0.004276,18,-
2017-09-17,0.004007,0.005509,0.003876,0.003888,43,-
2017-09-16,0.004822,0.005045,0.004623,0.004815,4,-
2017-09-15,0.004218,0.004972,0.003720,0.004835,8,-
2017-09-14,0.004963,0.005029,0.004148,0.004185,4,-
2017-09-13,0.004485,0.005073,0.003912,0.004963,24,-
2017-09-12,0.005472,0.005691,0.004446,0.004502,1,-
2017-09-11,0.004548,0.005577,0.004426,0.005474,13,-
2017-09-10,0.005111,0.005111,0.004452,0.004555,1,-
2017-09-09,0.005108,0.005201,0.004962,0.005124,1,-
2017-09-08,0.004773,0.005129,0.004313,0.005098,2,-
2017-09-07,0.004692,0.004825,0.004635,0.004772,1,-
2017-09-06,0.004685,0.005112,0.004683,0.004914,1,-
2017-09-05,0.005081,0.005288,0.004680,0.004680,2,-
2017-09-04,0.005450,0.005454,0.004900,0.005055,1,-
2017-09-03,0.004888,0.005578,0.004888,0.005449,0,-
2017-09-02,0.005810,0.005821,0.004763,0.004885,6,-
2017-09-01,0.005704,0.005806,0.005692,0.005803,0,-
2017-08-31,0.005404,0.005621,0.005403,0.005597,0,-
2017-08-30,0.005191,0.005422,0.004687,0.005413,3,-
2017-08-29,0.004521,0.005201,0.004502,0.005198,16,-
2017-08-28,0.004604,0.004604,0.004324,0.004513,1,-
2017-08-27,0.004474,0.004641,0.004450,0.004609,5,-
2017-08-26,0.004630,0.004640,0.004475,0.004475,20,-
2017-08-25,0.004588,0.004730,0.004557,0.004628,1,-
2017-08-24,0.004433,0.004629,0.004200,0.004596,3,-
2017-08-23,0.004168,0.004550,0.004154,0.004431,1,-
2017-08-22,0.004281,0.004434,0.003876,0.004176,1,-
2017-08-21,0.004219,0.004354,0.004048,0.004271,8,-
2017-08-20,0.004394,0.004394,0.004131,0.004235,5,-
2017-08-19,0.004355,0.004435,0.004085,0.004415,6,-
2017-08-18,0.004537,0.004615,0.004253,0.004359,2,-
2017-08-17,0.004915,0.005020,0.004548,0.004551,3,-
2017-08-16,0.004444,0.004921,0.004219,0.004920,21,-
2017-08-15,0.004543,0.005696,0.004133,0.004440,16,-
2017-08-14,0.004590,0.005554,0.004421,0.004531,7,-
2017-08-13,0.004332,0.005331,0.004322,0.004587,26,-
2017-08-12,0.004526,0.004949,0.004210,0.004336,9,-
2017-08-11,0.006593,0.006611,0.004311,0.004530,51,-
2017-08-10,0.003811,0.010467,0.003352,0.006593,1019,-
2017-08-09,0.003863,0.004577,0.003702,0.003811,33,-
2017-08-08,0.003968,0.005223,0.003863,0.003866,10,-
2017-08-07,0.005152,0.005231,0.003810,0.003964,1,-
2017-08-06,0.003971,0.005250,0.003580,0.005164,56,-
2017-08-05,0.003454,0.003974,0.003451,0.003970,1,-
2017-08-04,0.003372,0.003476,0.003349,0.003456,0,-
2017-08-03,0.003272,0.003389,0.003270,0.003373,3,-
2017-08-02,0.003384,0.003437,0.003215,0.003266,6,-
2017-08-01,0.004036,0.004102,0.003296,0.003385,1,-
2017-07-31,0.003919,0.004100,0.003866,0.004034,53,-
2017-07-30,0.004430,0.004439,0.003750,0.003915,18,-
2017-07-29,0.003977,0.004480,0.003844,0.004426,7,-
2017-07-28,0.006839,0.006999,0.003760,0.003993,71,-
2017-07-27,0.007145,0.007690,0.003635,0.006818,218,-
2017-07-26,0.007681,0.010393,0.006244,0.007125,1549,-
2017-07-25,0.003227,0.010041,0.002985,0.007677,15021,-
2017-07-24,0.003933,0.004093,0.003117,0.003227,1,-
2017-07-23,0.003849,0.004344,0.002997,0.003938,586,-
2017-07-22,0.003841,0.003941,0.002995,0.003849,1,-
2017-07-21,0.003143,0.003929,0.002953,0.003842,0,-
2017-07-20,0.002458,0.003219,0.002458,0.003120,0,-
2017-07-19,0.002510,0.003659,0.002429,0.002466,10,-
2017-07-18,0.002423,0.002590,0.002346,0.002506,1,-
2017-07-17,0.002750,0.002988,0.002314,0.002417,2,-
2017-07-16,0.002144,0.003008,0.002123,0.002753,2,-
2017-07-15,0.003106,0.003194,0.002150,0.002150,1,-
2017-07-14,0.002435,0.003120,0.002372,0.003111,0,-
2017-07-13,0.003293,0.003663,0.002414,0.002436,17,-
2017-07-12,0.002998,0.003318,0.002365,0.003291,5,-
2017-07-11,0.002972,0.003060,0.002863,0.003013,3,-
2017-07-10,0.003182,0.003199,0.002897,0.002979,1,-
2017-07-09,0.003008,0.003221,0.002979,0.003175,7,-
2017-07-08,0.002902,0.003009,0.002433,0.003006,2,-
2017-07-07,0.002469,0.002933,0.002446,0.002899,20,-
2017-07-06,0.003354,0.003357,0.002455,0.002467,0,-
2017-07-05,0.002457,0.003373,0.002408,0.003352,37,-
2017-07-03,0.002365,0.002444,0.002347,0.002434,0,-
2017-07-02,0.002888,0.002932,0.002291,0.002374,0,-
2017-07-01,0.003310,0.003367,0.002434,0.002889,1,-
2017-06-30,0.003317,0.003406,0.003271,0.003311,0,-
2017-06-29,0.003270,0.003378,0.003270,0.003310,0,-
2017-06-28,0.002472,0.002472,0.002380,0.002416,0,-
2017-06-27,0.003362,0.003407,0.002224,0.002456,0,-
2017-06-26,0.003526,0.003556,0.003221,0.003362,12,-
2017-06-24,0.002556,0.002584,0.002556,0.002579,0,-
2017-06-23,0.002572,0.002597,0.002552,0.002556,0,-
2017-06-22,0.003497,0.003497,0.003497,0.003497,0,-
2017-06-21,0.003247,0.003497,0.003247,0.003497,53,-
2017-06-20,0.003247,0.003247,0.003247,0.003247,1,-
2017-06-19,0.003247,0.003247,0.003247,0.003247,0,-
2017-06-18,0.003172,0.003247,0.003172,0.003247,2,-
2017-06-17,0.003023,0.003172,0.003023,0.003172,10,-
2017-06-16,0.002752,0.003023,0.002642,0.003023,3,-
