Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.008439,0.011245,0.008369,0.009707,10844,42430
2017-11-23,0.011926,0.011985,0.008450,0.008450,212,59965
2017-11-22,0.010873,0.013245,0.008514,0.011930,56538,54667
2017-11-21,0.011950,0.013487,0.005879,0.010847,60646,60083
2017-11-20,0.009652,0.012150,0.009537,0.011948,203,48529
2017-11-19,0.007787,0.013777,0.007757,0.009657,9660,39152
2017-11-18,0.012606,0.013704,0.007762,0.007801,34731,63382
2017-11-17,0.014042,0.014335,0.011350,0.012655,2064,70601
2017-11-16,0.013876,0.014325,0.010778,0.014065,1189,69766
2017-11-15,0.010380,0.016142,0.007965,0.013803,72851,52190
2017-11-14,0.004702,0.011785,0.004702,0.010373,4349,23642
2017-11-13,0.005284,0.005919,0.004504,0.004692,79,26566
2017-11-12,0.004389,0.005769,0.003820,0.005276,1,22068
2017-11-11,0.004011,0.008752,0.004006,0.004392,732,20165
2017-11-10,0.009410,0.009682,0.003794,0.004025,1012,47313
2017-11-09,0.007915,0.009821,0.007727,0.009382,105,39798
2017-11-08,0.008326,0.009986,0.007592,0.007924,406,41861
2017-11-07,0.009395,0.012752,0.008209,0.008352,115351,47235
2017-11-06,0.010499,0.011805,0.009376,0.009410,1946,52785
2017-11-05,0.010475,0.014614,0.010360,0.010475,1656,52667
2017-11-04,0.014190,0.014373,0.010062,0.010495,1818,71348
2017-11-03,0.012501,0.016538,0.009859,0.014228,57979,62856
2017-11-02,0.015274,0.015674,0.008828,0.012518,756,76795
2017-11-01,0.012372,0.015285,0.009798,0.015257,923,62206
2017-10-31,0.011765,0.014964,0.011703,0.012381,135,59155
2017-10-30,0.012991,0.015001,0.011651,0.011806,438,65317
2017-10-29,0.014148,0.014782,0.011178,0.013067,1252,71134
2017-10-28,0.011930,0.014306,0.011867,0.014167,1316,59984
2017-10-27,0.014481,0.014751,0.011826,0.011898,3,72811
2017-10-26,0.014164,0.014781,0.011451,0.014478,1575,71214
2017-10-25,0.009933,0.014191,0.009687,0.014166,7327,49941
2017-10-24,0.013373,0.013373,0.009874,0.009929,139,67240
2017-10-23,0.010284,0.014440,0.008690,0.013403,3023,51708
2017-10-22,0.012027,0.015357,0.009948,0.010301,1758,60472
2017-10-21,0.012250,0.016566,0.011805,0.012024,7197,61594
2017-10-20,0.009355,0.014197,0.008226,0.012276,9279,47038
2017-10-19,0.014471,0.014817,0.009353,0.009353,59,72758
2017-10-18,0.008625,0.015057,0.008418,0.014464,59,43366
2017-10-17,0.008206,0.015017,0.007961,0.008625,18952,41260
2017-10-16,0.013661,0.013768,0.008081,0.008205,77,68683
