Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000833,0.000886,0.000756,0.000856,284,470423
2017-11-23,0.000985,0.001019,0.000846,0.000850,408,556349
2017-11-22,0.000810,0.001043,0.000736,0.001000,423,457438
2017-11-21,0.000890,0.000972,0.000702,0.000808,1014,502380
2017-11-20,0.000876,0.000895,0.000837,0.000890,70,494589
2017-11-19,0.000858,0.000947,0.000835,0.000879,84,484605
2017-11-18,0.000856,0.000907,0.000829,0.000859,145,483272
2017-11-17,0.000822,0.000901,0.000785,0.000859,84,463964
2017-11-16,0.000791,0.000905,0.000755,0.000823,90,446566
2017-11-15,0.000784,0.000887,0.000745,0.000786,35,442676
2017-11-14,0.000644,0.000841,0.000644,0.000784,358,363122
2017-11-13,0.000590,0.000653,0.000557,0.000642,204,332648
2017-11-12,0.000575,0.000640,0.000437,0.000587,125,324205
2017-11-11,0.000567,0.000654,0.000563,0.000575,38,319877
2017-11-10,0.000602,0.000639,0.000547,0.000572,92,339622
2017-11-09,0.000586,0.000651,0.000465,0.000591,66,330567
2017-11-08,0.000708,0.000708,0.000571,0.000591,13,398877
2017-11-07,0.000567,0.000710,0.000536,0.000710,107,319673
2017-11-06,0.000596,0.000711,0.000552,0.000568,136,336147
2017-11-05,0.000594,0.000684,0.000588,0.000595,31,334715
2017-11-04,0.000627,0.000735,0.000554,0.000594,141,353105
2017-11-03,0.000911,0.000913,0.000559,0.000627,64,513151
2017-11-02,0.000687,0.000990,0.000629,0.000912,2084,387216
2017-11-01,0.000557,0.000792,0.000551,0.000685,85,313808
2017-10-31,0.000458,0.000561,0.000344,0.000558,144,258023
2017-10-30,0.000734,0.000739,0.000459,0.000459,124,413249
2017-10-29,0.000529,0.000885,0.000525,0.000738,272,297919
2017-10-28,0.000582,0.000698,0.000529,0.000533,37,327754
2017-10-27,0.000590,0.000692,0.000580,0.000581,30,332135
2017-10-26,0.000645,0.000714,0.000580,0.000590,61,363258
2017-10-25,0.000644,0.000686,0.000551,0.000645,55,362362
2017-10-24,0.000495,0.000675,0.000482,0.000640,42,278553
2017-10-23,0.000624,0.000638,0.000468,0.000496,328,351184
2017-10-22,0.000730,0.000769,0.000615,0.000625,30,411178
2017-10-21,0.000720,0.000770,0.000601,0.000730,150,405395
2017-10-20,0.000742,0.000894,0.000656,0.000721,409,417851
2017-10-19,0.000773,0.000782,0.000670,0.000743,37,434894
2017-10-18,0.000680,0.000776,0.000620,0.000773,39,382630
2017-10-17,0.000751,0.000754,0.000677,0.000678,23,422860
2017-10-16,0.000676,0.001013,0.000669,0.000751,105,380132
2017-10-15,0.000759,0.000770,0.000653,0.000675,124,427150
2017-10-14,0.000728,0.000843,0.000714,0.000758,33,409484
2017-10-13,0.000708,0.000763,0.000703,0.000728,253,398158
2017-10-12,0.000675,0.000727,0.000625,0.000706,64,379362
2017-10-11,0.000648,0.000741,0.000616,0.000674,790,364677
2017-10-10,0.000715,0.000748,0.000532,0.000649,569,401843
2017-10-09,0.000595,0.000993,0.000593,0.000715,633,334767
2017-10-08,0.000628,0.000711,0.000568,0.000595,77,353239
2017-10-07,0.000641,0.000673,0.000605,0.000630,34,360044
2017-10-06,0.000654,0.000692,0.000632,0.000640,14,367770
2017-10-05,0.000648,0.000661,0.000623,0.000654,86,364255
2017-10-04,0.000644,0.000729,0.000641,0.000648,102,362068
2017-10-03,0.000681,0.000817,0.000633,0.000643,80,382850
2017-10-02,0.000748,0.000800,0.000676,0.000681,51,420472
2017-10-01,0.000743,0.000758,0.000657,0.000749,126,417287
2017-09-30,0.000631,0.000744,0.000631,0.000742,93,354678
2017-09-29,0.000722,0.000794,0.000621,0.000631,232,405568
2017-09-28,0.000675,0.000752,0.000647,0.000722,49,379283
2017-09-27,0.000623,0.000680,0.000583,0.000678,38,349817
2017-09-26,0.000624,0.000692,0.000580,0.000625,109,350680
2017-09-25,0.000615,0.000800,0.000539,0.000639,192,345462
2017-09-24,0.000780,0.000828,0.000524,0.000634,364,437737
2017-09-23,0.000727,0.000859,0.000692,0.000778,180,408087
2017-09-22,0.000720,0.000809,0.000619,0.000729,155,404409
2017-09-21,0.000734,0.000759,0.000610,0.000721,94,412179
2017-09-20,0.000588,0.000848,0.000577,0.000737,52,329817
2017-09-19,0.000611,0.000783,0.000585,0.000588,193,343167
2017-09-18,0.000517,0.000684,0.000507,0.000610,179,290047
2017-09-17,0.000482,0.000515,0.000464,0.000510,30,270725
2017-09-16,0.000454,0.000505,0.000453,0.000483,17,254790
2017-09-15,0.000450,0.000530,0.000412,0.000456,21,252563
2017-09-14,0.000544,0.000580,0.000447,0.000447,45,305042
2017-09-13,0.000662,0.000665,0.000535,0.000542,91,371581
2017-09-12,0.000708,0.000766,0.000600,0.000665,262,397308
2017-09-11,0.000636,0.000818,0.000541,0.000790,368,356588
2017-09-10,0.000686,0.000751,0.000561,0.000637,302,384589
2017-09-09,0.000778,0.000813,0.000667,0.000687,46,436298
2017-09-08,0.000833,0.000878,0.000738,0.000777,102,466943
2017-09-07,0.000827,0.000835,0.000743,0.000833,807,463346
2017-09-06,0.000797,0.000862,0.000776,0.000827,102,446906
2017-09-05,0.000769,0.000821,0.000693,0.000796,46,431159
2017-09-04,0.000827,0.000827,0.000718,0.000766,137,463117
