Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001402,0.001465,0.001318,0.001368,9,216618
2017-11-23,0.001453,0.001695,0.001278,0.001419,130,224282
2017-11-22,0.001217,0.001595,0.001212,0.001472,89,187623
2017-11-21,0.001643,0.001647,0.001197,0.001214,266,252921
2017-11-20,0.001533,0.001651,0.001416,0.001643,25,235735
2017-11-19,0.001422,0.001639,0.001197,0.001533,66,218380
2017-11-18,0.001460,0.001488,0.001225,0.001422,25,224071
2017-11-17,0.001550,0.001578,0.001312,0.001466,15,237581
2017-11-16,0.001211,0.001567,0.001184,0.001556,20,185295
2017-11-15,0.001108,0.001658,0.001017,0.001202,203,169375
2017-11-14,0.001101,0.001188,0.001036,0.001106,29,168033
2017-11-13,0.000868,0.001104,0.000732,0.001098,86,132401
2017-11-12,0.001056,0.001135,0.000844,0.000866,5,160873
2017-11-11,0.000920,0.001112,0.000793,0.001056,108,140027
2017-11-10,0.001308,0.001308,0.000917,0.000924,163,198723
2017-11-09,0.001121,0.001310,0.000854,0.001290,84,170173
2017-11-08,0.001308,0.001427,0.001078,0.001122,296,198287
2017-11-07,0.001234,0.001325,0.001099,0.001311,80,186911
2017-11-06,0.001480,0.001545,0.001202,0.001237,147,223760
2017-11-05,0.001714,0.001840,0.001460,0.001476,953,258849
2017-11-04,0.001720,0.001755,0.001565,0.001715,120,259484
2017-11-03,0.002066,0.002087,0.001674,0.001725,86,311261
2017-11-02,0.001762,0.002313,0.001697,0.001977,21,265107
2017-11-01,0.001675,0.001764,0.001654,0.001761,41,251842
2017-10-31,0.001716,0.001732,0.001541,0.001677,24,257593
2017-10-30,0.001725,0.003009,0.001525,0.001722,417,258707
2017-10-29,0.001597,0.002805,0.001535,0.001735,207,239215
2017-10-28,0.001676,0.002085,0.001487,0.001656,64,250650
2017-10-27,0.001177,0.002897,0.001176,0.001671,787,175909
2017-10-26,0.000910,0.002009,0.000860,0.001177,491,135829
2017-10-25,0.000883,0.000912,0.000808,0.000910,65,131653
2017-10-24,0.000941,0.000975,0.000795,0.000883,78,140025
2017-10-23,0.000990,0.001023,0.000854,0.000943,56,147146
2017-10-22,0.000903,0.001030,0.000903,0.000990,12,134107
2017-10-21,0.001244,0.001430,0.000903,0.000903,79,184464
2017-10-20,0.001027,0.001447,0.000959,0.001240,28,152125
2017-10-19,0.001058,0.001191,0.000971,0.001027,25,156576
2017-10-18,0.001224,0.001224,0.000867,0.001058,341,180910
2017-10-17,0.001451,0.001454,0.001193,0.001225,139,214177
2017-10-16,0.001901,0.002944,0.001377,0.001451,35,280230
2017-10-15,0.001418,0.002475,0.001243,0.001900,35,208828
2017-10-14,0.001263,0.001553,0.001251,0.001416,29,185726
2017-10-13,0.001197,0.001473,0.001190,0.001263,145,175850
2017-10-12,0.001207,0.001418,0.001107,0.001194,96,176976
2017-10-11,0.001056,0.001219,0.001049,0.001206,34,154672
2017-10-10,0.001149,0.001214,0.001049,0.001056,29,168106
2017-10-09,0.001211,0.001395,0.001022,0.001149,519,177028
2017-10-08,0.001333,0.001339,0.001077,0.001211,2678,194570
2017-10-07,0.001309,0.001354,0.001087,0.001337,362,190814
2017-10-06,0.001340,0.001409,0.001298,0.001309,63,195148
2017-10-05,0.001435,0.001513,0.001333,0.001340,284,208709
2017-10-04,0.001479,0.001569,0.001346,0.001434,143,214856
2017-10-03,0.001497,0.001548,0.001317,0.001476,39,217128
2017-10-02,0.001538,0.001686,0.001354,0.001497,1462,222795
2017-10-01,0.001608,0.001646,0.001493,0.001539,109,232592
2017-09-30,0.001460,0.001653,0.001459,0.001607,102,211002
2017-09-29,0.001594,0.001642,0.001377,0.001460,26,230005
2017-09-28,0.001683,0.002063,0.001438,0.001595,563,242587
2017-09-27,0.001672,0.001688,0.001517,0.001683,10,240710
2017-09-26,0.001613,0.001695,0.001430,0.001677,95,231861
2017-09-25,0.001396,0.001628,0.001242,0.001613,268,200387
2017-09-24,0.001856,0.001856,0.001136,0.001397,802,266181
2017-09-23,0.001274,0.001856,0.001164,0.001856,1504,182532
2017-09-22,0.001195,0.001307,0.000986,0.001278,118,170928
2017-09-21,0.001351,0.001628,0.001054,0.001196,1608,193042
2017-09-20,0.001364,0.001406,0.001302,0.001358,56,194695
2017-09-19,0.001272,0.001615,0.001229,0.001366,200,181262
2017-09-18,0.001146,0.001273,0.001094,0.001269,115,163033
2017-09-17,0.001263,0.001263,0.000932,0.001148,1190,179520
2017-09-16,0.001150,0.001535,0.001102,0.001264,93,163241
2017-09-15,0.001138,0.001213,0.000839,0.001153,73,161335
2017-09-14,0.001391,0.001604,0.001008,0.001130,119,196993
2017-09-13,0.001391,0.001495,0.001165,0.001391,155,196767
2017-09-12,0.003585,0.003649,0.001305,0.001397,32,506316
2017-09-11,0.005135,0.006016,0.003534,0.003574,179,724258
2017-09-10,0.001377,0.005385,0.001266,0.005140,189,193898
2017-09-09,0.001325,0.001384,0.001279,0.001380,89,186382
2017-09-08,0.001537,0.001537,0.001261,0.001321,24,215847
2017-09-07,0.001474,0.001544,0.001407,0.001536,65,206829
2017-09-06,0.001503,0.001591,0.001370,0.001477,33,210545
2017-09-05,0.001378,0.001529,0.001263,0.001501,23,192795
2017-09-04,0.001566,0.001597,0.001370,0.001371,74,218845
2017-09-03,0.002166,0.002269,0.001203,0.001566,1470,302247
2017-09-02,0.001820,0.002165,0.001423,0.002165,1281,253581
2017-09-01,0.001672,0.001908,0.001672,0.001863,502,232738
2017-08-31,0.001833,0.001918,0.001671,0.001672,922,254768
2017-08-30,0.001975,0.002046,0.001783,0.001836,1155,274189
2017-08-29,0.001931,0.002158,0.001824,0.001978,31,267656
2017-08-28,0.002512,0.002512,0.001666,0.001928,164,347737
2017-08-27,0.001635,0.003915,0.001605,0.002515,2719,226102
2017-08-26,0.001695,0.001698,0.001580,0.001636,89,233975
2017-08-25,0.001732,0.001848,0.001634,0.001694,146,238781
2017-08-24,0.001616,0.001770,0.001603,0.001735,65,222487
2017-08-23,0.001594,0.001753,0.001588,0.001615,170,219141
2017-08-22,0.001641,0.001699,0.001487,0.001597,25,225311
