Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000241,0.000242,0.000158,0.000165,746,273477
2017-11-23,0.000165,0.000248,0.000082,0.000241,1504,186586
2017-11-22,0.000081,0.000246,0.000081,0.000165,2259,92033
2017-11-21,0.000082,0.000167,0.000078,0.000081,5818,93477
2017-11-20,0.000080,0.000083,0.000079,0.000082,598,91231
2017-11-19,0.000078,0.000161,0.000077,0.000080,1008,88322
2017-11-18,0.000077,0.000156,0.000075,0.000078,713,87186
2017-11-17,0.000157,0.000161,0.000076,0.000077,490,177954
2017-11-16,0.000073,0.000160,0.000071,0.000157,2772,82834
2017-11-15,0.000066,0.000146,0.000066,0.000073,11712,74991
2017-11-14,0.000065,0.000067,0.000064,0.000066,485,74075
2017-11-13,0.000059,0.000132,0.000059,0.000065,439,66589
2017-11-12,0.000064,0.000126,0.000055,0.000059,450,72151
2017-11-11,0.000066,0.000130,0.000063,0.000064,392,74574
2017-11-10,0.000143,0.000147,0.000065,0.000066,1533,161716
2017-11-09,0.000075,0.000145,0.000072,0.000142,25,84698
2017-11-08,0.000071,0.000149,0.000071,0.000075,380,80714
2017-11-07,0.000139,0.000144,0.000070,0.000071,64,157863
2017-11-06,0.000148,0.000148,0.000069,0.000139,1247,167716
2017-11-05,0.000148,0.000152,0.000075,0.000148,200,167341
2017-11-04,0.000143,0.000151,0.000070,0.000148,949,162580
2017-11-03,0.000070,0.000149,0.000069,0.000144,392,79661
2017-11-02,0.000135,0.000146,0.000069,0.000070,894,152637
2017-11-01,0.000129,0.000193,0.000064,0.000134,1166,146179
2017-10-31,0.000184,0.000193,0.000122,0.000193,1084,208511
2017-10-30,0.000185,0.000185,0.000121,0.000184,1476,209502
2017-10-29,0.000172,0.000190,0.000058,0.000186,386,194904
2017-10-28,0.000115,0.000174,0.000113,0.000172,1628,130760
2017-10-27,0.000118,0.000120,0.000114,0.000115,3,133541
2017-10-26,0.000115,0.000118,0.000114,0.000118,4,130083
2017-10-25,0.000110,0.000169,0.000108,0.000115,6,125181
2017-10-24,0.000117,0.000173,0.000110,0.000110,4,133059
2017-10-23,0.000120,0.000121,0.000113,0.000118,429,135639
2017-10-22,0.000120,0.000181,0.000115,0.000120,373,136419
2017-10-21,0.000180,0.000186,0.000120,0.000120,3,204338
2017-10-20,0.000171,0.000183,0.000113,0.000181,375,194110
2017-10-19,0.000168,0.000172,0.000166,0.000171,84,190118
2017-10-18,0.000224,0.000224,0.000154,0.000168,17,254102
2017-10-17,0.000173,0.000225,0.000166,0.000224,25,196644
2017-10-16,0.000171,0.000230,0.000167,0.000173,229,193678
2017-10-15,0.000234,0.000235,0.000164,0.000171,294,265467
2017-10-14,0.000170,0.000234,0.000168,0.000234,235,192445
2017-10-13,0.000163,0.000234,0.000162,0.000170,249,185128
2017-10-12,0.000145,0.000213,0.000144,0.000163,34,164220
2017-10-11,0.000143,0.000195,0.000142,0.000145,156,162060
2017-10-10,0.000144,0.000194,0.000142,0.000143,208,162857
2017-10-09,0.000184,0.000189,0.000139,0.000144,225,208822
2017-10-08,0.000222,0.000223,0.000177,0.000184,78,252000
2017-10-07,0.000131,0.000223,0.000130,0.000223,141,148825
2017-10-06,0.000173,0.000221,0.000130,0.000131,229,196157
2017-10-05,0.000169,0.000250,0.000126,0.000173,1151,191518
2017-10-04,0.000173,0.000217,0.000126,0.000169,250,195976
2017-10-03,0.000132,0.000216,0.000128,0.000172,630,149811
2017-10-02,0.000176,0.000177,0.000131,0.000132,310,199351
2017-10-01,0.000130,0.000176,0.000128,0.000176,280,147836
2017-09-30,0.000083,0.000172,0.000083,0.000130,680,94637
2017-09-29,0.000126,0.000127,0.000083,0.000083,9,142690
2017-09-28,0.000084,0.000126,0.000083,0.000126,38,95441
