Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.050314,0.056970,0.036613,0.047720,5484,724522
2017-11-23,0.035282,0.051570,0.028312,0.050567,10604,508064
2017-11-22,0.026372,0.048861,0.021681,0.035201,3665,379754
2017-11-21,0.026552,0.031524,0.025910,0.026338,12394,382345
2017-11-20,0.059688,0.067270,0.026594,0.026594,28014,859514
2017-11-19,0.095560,0.095560,0.052548,0.059753,35103,1376060
2017-11-18,0.077124,0.098666,0.075286,0.095807,38480,1110580
2017-11-17,0.088098,0.117003,0.074860,0.086305,96217,1268610
2017-11-16,0.120569,0.155746,0.073909,0.088159,153851,-
2017-11-15,0.419353,0.419353,0.098483,0.120664,590815,-
2017-11-14,0.384493,0.419209,0.383553,0.419124,362421,-
