Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000723,0.000751,0.000710,0.000740,103,-
2017-11-23,0.000740,0.000744,0.000724,0.000724,101,-
2017-11-22,0.000568,0.000747,0.000486,0.000741,103,-
2017-11-21,0.000577,0.000586,0.000546,0.000567,6,-
2017-11-20,0.000643,0.000654,0.000572,0.000577,25,-
2017-11-19,0.000701,0.000783,0.000539,0.000644,76,-
2017-11-18,0.000923,0.000931,0.000696,0.000702,152,-
2017-11-16,0.001388,0.001388,0.001357,0.001376,1,-
2017-11-15,0.001287,0.001392,0.001287,0.001380,74,-
2017-11-13,0.000939,0.001076,0.000932,0.001034,9,-
2017-11-12,0.001055,0.001055,0.000906,0.000938,8,-
2017-11-11,0.001118,0.001158,0.001070,0.001092,4,-
2017-11-10,0.001497,0.001540,0.001097,0.001122,6,-
2017-11-09,0.001195,0.001520,0.001128,0.001493,1,-
2017-11-08,0.001067,0.001196,0.001061,0.001196,29,-
2017-11-07,0.001183,0.001224,0.001048,0.001071,82,-
2017-11-06,0.001109,0.001260,0.001067,0.001185,845,-
2017-11-05,0.001133,0.001142,0.001094,0.001107,1,-
2017-11-04,0.001218,0.001262,0.001190,0.001248,252,-
2017-11-03,0.001124,0.001269,0.001072,0.001222,266,-
2017-11-02,0.001077,0.001206,0.001077,0.001125,14,-
2017-11-01,0.001933,0.001934,0.001044,0.001075,205,-
2017-10-31,0.001900,0.001935,0.001589,0.001935,73,-
2017-10-30,0.001909,0.001927,0.001871,0.001906,8,-
2017-10-29,0.001718,0.001960,0.001563,0.001920,11,-
2017-10-28,0.001716,0.001738,0.001704,0.001721,1,-
2017-10-27,0.001589,0.001619,0.001540,0.001555,33,-
2017-10-26,0.001778,0.001817,0.001566,0.001589,34,-
2017-10-25,0.001490,0.001781,0.001453,0.001778,13,-
2017-10-24,0.001526,0.001551,0.001481,0.001489,7,-
2017-10-21,0.001681,0.001734,0.001670,0.001724,17,-
2017-10-20,0.001597,0.001711,0.001574,0.001685,17,-
2017-10-19,0.001564,0.001608,0.001550,0.001597,18,-
2017-10-18,0.001496,0.001571,0.001438,0.001564,2,-
2017-10-16,0.001537,0.001545,0.001503,0.001541,2,-
2017-10-15,0.001508,0.001552,0.001429,0.001537,7,-
2017-10-14,0.001810,0.001828,0.001678,0.001725,2,-
2017-10-13,0.001741,0.001881,0.001730,0.001809,33,-
2017-10-12,0.001544,0.001736,0.001540,0.001736,31,-
2017-10-11,0.001476,0.001701,0.001465,0.001543,28,-
2017-10-10,0.001675,0.001701,0.001466,0.001477,15,-
2017-10-09,0.001611,0.001705,0.001595,0.001675,5,-
2017-10-08,0.001777,0.001794,0.001473,0.001611,61,-
