Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.237601,0.260191,0.228138,0.258151,1884340,65854200
2017-11-23,0.261962,0.265923,0.238242,0.238242,2133510,72606000
2017-11-22,0.270566,0.273905,0.247486,0.262787,1893560,74990800
2017-11-21,0.266797,0.268798,0.240663,0.267959,1583940,73946300
2017-11-20,0.249106,0.281754,0.249106,0.268240,1772860,69042900
2017-11-19,0.264651,0.271111,0.242349,0.249098,1146710,73351200
2017-11-18,0.260259,0.270433,0.250559,0.265129,909141,72134200
2017-11-17,0.267459,0.278233,0.250585,0.257303,1477450,74129600
2017-11-16,0.266061,0.326812,0.258911,0.276348,4352160,73742100
2017-11-15,0.236665,0.266059,0.236665,0.264633,1783740,65594700
2017-11-14,0.222281,0.238899,0.219217,0.235506,1064470,61608100
2017-11-13,0.207222,0.225303,0.207222,0.223694,778468,57434100
2017-11-12,0.238693,0.239649,0.200078,0.206923,1862810,66156800
2017-11-11,0.240297,0.259862,0.236303,0.238159,921946,66601300
2017-11-10,0.269915,0.276612,0.227010,0.240991,902045,74810200
2017-11-09,0.259888,0.285078,0.254350,0.269108,1189380,72031300
2017-11-08,0.243571,0.285481,0.221658,0.262915,1631760,67508800
2017-11-07,0.231099,0.250130,0.230233,0.243587,970278,64051900
2017-11-06,0.209216,0.253552,0.208479,0.229622,1169720,57986700
2017-11-05,0.218221,0.224642,0.207187,0.208844,503566,60482600
2017-11-04,0.200344,0.225884,0.197247,0.218003,543297,55527900
2017-11-03,0.177322,0.199677,0.175837,0.199013,548399,49146900
2017-11-02,0.185579,0.186344,0.164434,0.178321,733194,51435500
2017-11-01,0.216551,0.217671,0.180191,0.184682,553665,60019800
2017-10-31,0.216269,0.220768,0.205989,0.214774,456158,59941700
2017-10-30,0.206256,0.222367,0.204809,0.216610,405068,57166400
2017-10-29,0.191176,0.215270,0.190836,0.206581,373718,52986800
2017-10-28,0.206617,0.212177,0.190578,0.191099,366837,57266400
2017-10-27,0.218215,0.219488,0.187881,0.206411,625105,60481200
2017-10-26,0.227778,0.235112,0.215566,0.217957,504600,63131400
2017-10-25,0.243201,0.251450,0.221307,0.227684,508684,67406200
2017-10-24,0.237373,0.263378,0.233301,0.243873,537452,65791000
2017-10-23,0.247663,0.248239,0.224548,0.237541,569408,68643000
2017-10-22,0.251105,0.264818,0.233000,0.246779,457619,69596900
2017-10-21,0.249942,0.273690,0.240297,0.249945,344300,69274500
2017-10-20,0.296961,0.299052,0.239716,0.250629,812966,82306600
2017-10-19,0.293230,0.312849,0.271934,0.298278,1253670,81272400
2017-10-18,0.234597,0.295082,0.223938,0.293542,1174310,65384400
2017-10-17,0.223600,0.234105,0.209381,0.233730,450269,62319300
2017-10-16,0.223173,0.234239,0.209020,0.223623,414904,62200300
2017-10-15,0.235218,0.237282,0.208031,0.222695,393751,65557400
2017-10-14,0.201374,0.245521,0.198380,0.235085,398967,56124900
2017-10-13,0.221204,0.235272,0.179531,0.201706,616856,61651500
2017-10-12,0.235971,0.247043,0.203406,0.221142,683349,65767300
2017-10-11,0.264569,0.267892,0.227112,0.235870,459206,73737900
2017-10-10,0.275916,0.275916,0.241830,0.263492,537691,76900100
2017-10-09,0.254210,0.309427,0.236866,0.275482,818564,70850600
2017-10-08,0.305599,0.307258,0.254081,0.255845,609297,85173100
2017-10-07,0.305689,0.321605,0.271775,0.306751,699534,85198300
2017-10-06,0.333381,0.333381,0.295335,0.305081,534257,92916200
2017-10-05,0.306541,0.342179,0.262600,0.334141,833600,85435800
2017-10-04,0.384006,0.384006,0.290188,0.303379,1342440,107026000
2017-10-03,0.305768,0.388768,0.265756,0.384378,3445270,85220300
2017-10-02,0.175792,0.329967,0.173691,0.298296,2614570,-
2017-10-01,0.160681,0.177207,0.156537,0.174829,497711,-
2017-09-30,0.151556,0.168958,0.151473,0.161556,443594,-
2017-09-29,0.136493,0.153248,0.110579,0.151748,368233,-
2017-09-28,0.148730,0.148730,0.122442,0.136886,319853,-
2017-09-27,0.097916,0.166898,0.096055,0.148762,290530,-
2017-09-26,0.097541,0.100245,0.096468,0.098070,219629,-
2017-09-25,0.084918,0.106750,0.080644,0.097807,230925,-
2017-09-24,0.069411,0.085404,0.067843,0.084833,129066,-
2017-09-23,0.064521,0.070096,0.062765,0.069762,153867,-
2017-09-22,0.064046,0.066053,0.060895,0.064688,93727,-
2017-09-21,0.068585,0.072917,0.063839,0.064075,116188,-
2017-09-20,0.056178,0.070688,0.050876,0.068935,45507,-
2017-09-19,0.068146,0.068917,0.055711,0.056247,3406,-
2017-09-18,0.065547,0.074459,0.042027,0.067955,3685,-
2017-09-17,0.075829,0.075833,0.056331,0.065584,12558,-
2017-09-16,0.063534,0.078749,0.062315,0.075771,26582,-
2017-09-15,0.055128,0.068444,0.052437,0.063221,20442,-
2017-09-14,0.075552,0.083391,0.055356,0.055356,34979,-
2017-09-13,0.050420,0.084292,0.050238,0.075553,659,-
2017-09-12,0.050420,0.050420,0.050420,0.050420,0,-
2017-09-11,0.049022,0.055699,0.047485,0.050420,0,-
2017-09-10,0.048004,0.057875,0.047648,0.049022,0,-
2017-09-09,0.081535,0.081543,0.046412,0.048002,258,-
2017-09-08,0.067827,0.096653,0.064907,0.081550,1880,-
2017-09-07,0.057143,0.067829,0.057143,0.067827,3311,-
2017-09-06,0.057972,0.060352,0.054886,0.057143,451,-
2017-09-05,0.056041,0.058804,0.041660,0.057972,1156340,-
2017-09-04,0.109926,0.128125,0.051508,0.056653,4568850,-
2017-09-03,0.138987,0.139340,0.104496,0.112362,5362440,-
2017-09-02,0.172681,0.176484,0.125146,0.140053,8672000,-
2017-09-01,0.187783,0.190960,0.171816,0.173036,3298480,-
2017-08-31,0.197504,0.200893,0.185077,0.187783,2681500,-
2017-08-30,0.229984,0.229984,0.152084,0.198101,11348900,-
2017-08-29,0.232930,0.240887,0.228623,0.230286,5284410,-
2017-08-28,0.241178,0.246522,0.228211,0.234442,4223700,-
2017-08-27,0.234209,0.260213,0.230134,0.241630,5238990,-
2017-08-26,0.242978,0.243837,0.229546,0.234058,3459540,-
2017-08-25,0.253048,0.253048,0.238451,0.242978,3718990,-
2017-08-24,0.276288,0.297604,0.238689,0.252909,6074270,-
2017-08-23,0.263492,0.323096,0.261051,0.279839,10956900,-
2017-08-22,0.239862,0.255482,0.225161,0.252281,7478420,-
