Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,2.11,2.25,2.08,2.22,75234,2904620
2017-11-23,2.34,2.37,2.06,2.11,155020,3217860
2017-11-22,2.21,2.57,2.16,2.33,205787,3034460
2017-11-21,2.31,2.34,2.14,2.20,103767,3175750
2017-11-20,2.41,2.98,2.32,2.32,332562,3308330
2017-11-19,2.41,2.53,2.40,2.42,74734,3306130
2017-11-18,2.50,2.65,2.38,2.43,86630,3422450
2017-11-17,2.79,2.96,2.31,2.50,193978,3823310
2017-11-16,2.77,2.85,2.64,2.80,54389,3792320
2017-11-15,2.58,2.79,2.58,2.74,60320,3525550
2017-11-14,2.53,2.62,2.46,2.58,34366,3456030
2017-11-13,2.24,2.63,2.23,2.52,47016,3057970
2017-11-12,2.48,2.63,2.16,2.24,57224,3381680
2017-11-11,2.55,2.81,2.41,2.49,61820,3461280
2017-11-10,2.98,3.12,2.47,2.57,147924,4049780
2017-11-09,3.11,3.23,2.92,2.97,142001,4224780
2017-11-08,3.01,3.27,2.92,3.12,109159,4078640
2017-11-07,2.89,3.19,2.89,3.02,72472,3913570
2017-11-06,3.27,3.33,2.85,2.89,67722,4424090
2017-11-05,2.90,3.44,2.90,3.22,98753,3925740
2017-11-04,3.16,3.17,2.73,2.90,111065,4269620
2017-11-03,3.61,3.62,2.63,3.09,307582,4866960
2017-11-02,2.28,4.58,2.18,3.70,2507560,3073440
2017-11-01,2.28,2.44,2.14,2.27,61785,3067290
2017-10-31,2.37,2.41,2.19,2.28,53843,3191780
2017-10-30,2.22,2.39,2.18,2.39,27195,2975830
2017-10-29,2.26,2.42,2.06,2.22,83538,3028400
2017-10-28,2.47,2.51,2.20,2.27,60129,3303640
2017-10-27,2.21,2.72,2.11,2.46,146609,2958360
2017-10-26,2.54,2.66,2.13,2.21,59467,3389600
2017-10-25,2.45,2.57,2.21,2.51,64500,3266870
2017-10-24,2.16,2.61,2.05,2.41,72563,2884250
2017-10-23,2.52,2.52,2.13,2.17,52180,3354030
2017-10-22,2.63,2.65,2.40,2.48,46810,3498600
2017-10-21,2.68,2.82,2.56,2.62,34452,3567580
2017-10-20,2.70,2.94,2.62,2.72,74626,3585530
2017-10-19,2.52,3.10,2.49,2.67,95140,3339190
2017-10-18,2.72,2.72,2.26,2.52,80649,3608380
2017-10-17,3.08,3.09,2.57,2.72,101628,4074330
2017-10-16,3.23,3.24,2.95,3.08,99053,4276990
2017-10-15,2.99,3.46,2.88,3.21,176589,3947420
2017-10-14,3.22,3.94,2.89,2.98,742331,4245870
2017-10-13,2.43,3.38,2.20,3.23,313204,3199770
2017-10-12,2.20,3.69,2.14,2.39,1074540,2892180
2017-10-11,1.73,2.31,1.67,2.20,112738,2278280
2017-10-10,1.79,1.85,1.72,1.73,20844,2349780
2017-10-09,1.86,1.86,1.73,1.77,45605,2439600
2017-10-08,2.15,2.15,1.83,1.86,77329,2809640
2017-10-07,2.16,2.23,2.06,2.14,35829,2829300
2017-10-06,2.07,2.22,2.05,2.16,69296,2697990
2017-10-05,2.03,2.09,1.99,2.06,27776,2646290
2017-10-04,2.05,2.13,1.97,2.03,62666,2670240
2017-10-03,2.09,2.25,1.94,2.04,67884,2714980
2017-10-02,2.09,2.15,2.05,2.09,22304,2716580
2017-10-01,2.11,2.15,2.06,2.10,37095,2737930
2017-09-30,2.06,2.14,2.04,2.11,15995,2676260
2017-09-29,2.18,2.18,2.03,2.07,34269,2826090
2017-09-28,2.18,2.21,2.10,2.18,29704,2819040
2017-09-27,2.10,2.23,2.08,2.18,31472,2716350
2017-09-26,2.09,2.13,2.02,2.11,33249,2697320
2017-09-25,2.04,2.16,1.97,2.10,69753,2637540
2017-09-24,1.96,2.18,1.89,2.05,137136,2525210
2017-09-23,1.77,2.13,1.75,1.96,129705,2271920
2017-09-22,1.81,1.88,1.72,1.77,27037,2320930
2017-09-21,1.95,2.14,1.80,1.82,67216,2500640
2017-09-20,1.85,2.02,1.84,1.95,32766,2372140
2017-09-19,2.07,2.07,1.85,1.87,30381,2649510
2017-09-18,1.83,2.07,1.80,2.01,25983,2339760
2017-09-17,1.78,1.88,1.63,1.82,34267,2274030
2017-09-16,1.70,2.00,1.55,1.78,128510,2172950
2017-09-15,1.62,1.78,1.37,1.74,60590,2060540
2017-09-14,1.86,2.44,1.54,1.60,348315,2375530
2017-09-13,1.99,2.07,1.78,1.87,30490,2538670
2017-09-12,1.90,2.24,1.90,2.00,66763,2417650
2017-09-11,2.06,2.13,1.90,1.91,46064,2621360
2017-09-10,2.15,2.19,1.94,2.08,42365,2730020
2017-09-09,2.17,2.29,2.09,2.18,49097,2750660
2017-09-08,2.40,2.42,2.05,2.13,32086,3038730
2017-09-07,2.50,2.51,2.26,2.37,32807,3159020
2017-09-06,2.36,2.62,2.28,2.52,43093,2983590
2017-09-05,2.17,2.49,1.84,2.36,120428,2741820
2017-09-04,2.26,2.36,1.94,2.09,88056,2849550
2017-09-03,2.27,2.36,2.16,2.27,38492,2849270
2017-09-02,2.40,2.56,2.12,2.27,38118,3014550
2017-09-01,2.34,2.47,2.26,2.40,69387,2935670
2017-08-31,2.39,2.57,2.31,2.35,91265,2998090
2017-08-30,2.51,2.69,2.33,2.38,62999,3147620
2017-08-29,2.37,2.55,2.30,2.54,68322,2966770
2017-08-28,2.30,2.38,2.18,2.34,29210,2874960
2017-08-27,2.28,2.37,2.23,2.30,30898,2844750
2017-08-26,2.35,2.35,2.14,2.22,44941,2924240
2017-08-25,2.41,2.42,2.26,2.33,54889,2997590
2017-08-24,2.27,2.45,2.23,2.33,49350,2816900
2017-08-23,2.14,2.39,2.09,2.26,62351,2661470
2017-08-22,2.35,2.35,2.02,2.15,103565,2910320
2017-08-21,2.42,2.45,2.27,2.36,51154,3000900
2017-08-20,2.47,2.51,2.31,2.41,56875,3055040
2017-08-19,2.51,2.72,2.34,2.41,95979,3097470
2017-08-18,2.91,2.98,2.32,2.47,194766,3590580
2017-08-17,2.41,3.57,2.15,2.86,726698,2966760
2017-08-16,1.94,2.95,1.87,2.50,179898,2393670
2017-08-15,1.96,2.15,1.72,2.00,62794,2408970
2017-08-14,2.16,2.32,1.75,1.92,93179,2655510
2017-08-13,2.48,2.56,2.16,2.23,104645,3038630
2017-08-12,2.36,2.69,2.22,2.47,163730,2894120
2017-08-11,2.81,2.99,2.01,2.34,568060,3437110
2017-08-10,2.26,3.27,2.14,2.83,959770,2766970
2017-08-09,2.14,2.39,2.08,2.27,76931,2614330
2017-08-08,2.19,2.28,1.98,2.15,123833,2676570
2017-08-07,2.52,2.54,1.93,2.18,224882,3073890
2017-08-06,2.96,3.26,2.51,2.53,193546,3594750
2017-08-05,2.86,3.38,2.36,3.08,405318,3475030
2017-08-04,2.85,3.72,2.73,2.79,632664,3453190
2017-08-03,2.92,4.32,2.53,2.90,3182520,3539760
2017-08-02,1.33,3.47,1.30,3.30,1082100,1604000
2017-08-01,1.10,1.56,0.988386,1.34,58873,1330920
2017-07-31,1.24,1.28,1.07,1.15,16316,1493590
2017-07-30,1.29,1.29,1.15,1.21,15731,1558760
2017-07-29,1.30,1.38,1.17,1.27,19469,1562760
2017-07-28,1.60,1.62,1.10,1.32,37207,1919520
2017-07-27,1.48,1.62,1.44,1.60,19792,1781060
2017-07-26,1.47,1.55,1.37,1.47,12801,1761530
2017-07-25,1.83,1.92,1.35,1.48,52702,2194130
2017-07-24,1.81,1.90,1.77,1.81,21414,2164910
2017-07-23,1.91,2.00,1.74,1.82,45661,2282620
2017-07-22,1.83,2.01,1.75,1.92,88459,2188590
2017-07-21,1.73,1.93,1.65,1.83,24710,2060450
2017-07-20,1.29,1.84,1.29,1.72,117203,1538160
2017-07-19,1.39,1.52,1.29,1.30,45834,1650390
2017-07-18,1.28,1.50,1.17,1.39,32183,1525380
2017-07-17,1.11,1.32,1.08,1.26,30173,1314200
2017-07-16,1.19,1.29,0.904130,1.11,110873,1411170
2017-07-15,1.57,1.58,1.03,1.19,46008,1861170
2017-07-14,1.82,1.87,1.40,1.56,35858,2150380
2017-07-13,1.84,1.87,1.60,1.76,20197,2173420
2017-07-12,1.69,1.87,1.45,1.87,33207,1995270
2017-07-11,1.66,1.80,1.29,1.65,39628,1950040
2017-07-10,2.72,2.75,1.63,1.65,105434,3201430
2017-07-09,2.77,3.04,2.62,2.70,68936,3251740
2017-07-08,3.04,3.40,2.64,2.81,61719,3569290
2017-07-07,3.53,3.68,3.07,3.13,63682,4136490
2017-07-06,3.70,3.87,3.51,3.52,48434,4324400
2017-07-05,3.74,4.25,3.41,3.71,148500,4366170
2017-07-04,3.48,4.47,3.34,3.82,351026,4060230
2017-07-03,3.14,3.57,2.89,3.55,75497,3655260
2017-07-02,3.79,3.79,3.18,3.23,62625,4411740
2017-07-01,3.39,4.18,3.05,3.76,149999,3935830
2017-06-30,3.00,3.77,2.88,3.37,107753,3477620
2017-06-29,3.38,3.46,2.78,3.03,54333,3910470
2017-06-28,2.63,3.68,2.37,3.35,74428,3041280
2017-06-27,2.53,2.78,1.83,2.54,68708,2927920
2017-06-26,2.88,3.11,2.24,2.48,59741,3323880
2017-06-25,2.89,4.13,2.71,2.85,166996,3323350
2017-06-24,2.47,4.60,2.40,2.89,465028,2844050
2017-06-23,2.25,2.52,2.06,2.52,46906,2586380
2017-06-22,1.94,2.25,1.87,2.16,33583,2220040
2017-06-21,1.95,1.95,1.68,1.92,24534,2235380
2017-06-20,1.77,1.98,1.66,1.94,47042,2028450
2017-06-19,1.78,1.90,1.67,1.74,31530,2031430
2017-06-18,1.77,1.89,1.71,1.74,27590,2018490
2017-06-17,1.87,1.90,1.61,1.86,33556,2130840
2017-06-16,1.43,1.89,1.36,1.88,104327,1620320
2017-06-15,1.23,1.51,0.943909,1.51,35635,1396700
2017-06-14,1.39,1.50,1.17,1.24,14067,1576270
2017-06-13,1.29,1.44,1.22,1.36,16141,1456040
2017-06-12,1.58,1.58,1.17,1.33,19979,1782580
2017-06-11,1.45,1.56,1.38,1.47,14231,1631270
2017-06-10,1.70,1.71,1.36,1.46,49981,1919880
2017-06-09,1.87,1.87,1.49,1.59,44524,2107930
2017-06-08,1.49,2.06,1.36,1.84,65675,1672220
2017-06-07,1.41,1.70,1.38,1.49,35342,1581920
2017-06-06,1.47,1.67,1.27,1.46,27697,1648380
2017-06-05,1.08,1.50,0.996418,1.44,57949,1203530
2017-06-04,1.11,1.14,1.05,1.08,13207,1240540
