Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.016741,0.016774,0.014256,0.015278,1390,152921
2017-11-23,0.017593,0.021340,0.016752,0.016752,1734,160708
2017-11-22,0.008104,0.017896,0.007992,0.017896,2732,74030
2017-11-21,0.008377,0.008972,0.007713,0.008085,1106,76523
2017-11-20,0.006520,0.008421,0.005681,0.008376,1486,59557
2017-11-19,0.007354,0.007354,0.005949,0.006539,299,67177
2017-11-18,0.005347,0.007427,0.005134,0.007366,292,48841
2017-11-17,0.005957,0.006261,0.005176,0.005367,463,54420
2017-11-16,0.006404,0.006681,0.005222,0.005968,218,58503
2017-11-15,0.005462,0.006584,0.005346,0.006382,168,49894
2017-11-14,0.005288,0.005461,0.003758,0.005458,509,48308
2017-11-13,0.005039,0.005653,0.004528,0.005277,587,46033
2017-11-12,0.006343,0.006343,0.004427,0.005033,151,57937
2017-11-11,0.005735,0.007118,0.005389,0.006346,341,52390
2017-11-10,0.006083,0.006430,0.005382,0.005671,583,55567
2017-11-09,0.007758,0.007758,0.006078,0.006151,505,70869
2017-11-08,0.006955,0.007767,0.006708,0.007766,343,63530
2017-11-07,0.006993,0.007279,0.006749,0.006971,174,63878
2017-11-06,0.006964,0.007444,0.006401,0.006957,753,63616
2017-11-05,0.007247,0.007521,0.006866,0.006949,586,66201
2017-11-04,0.006102,0.007947,0.005882,0.007259,353,55738
2017-11-03,0.007033,0.007343,0.005881,0.006116,476,64247
2017-11-02,0.005948,0.009126,0.005817,0.007042,951,54336
2017-11-01,0.016680,0.017952,0.005916,0.005942,6022,152364
2017-10-31,0.016337,0.018933,0.013586,0.016692,2094,149233
2017-10-30,0.021679,0.021696,0.016271,0.016393,598,198029
2017-10-29,0.021197,0.023727,0.017239,0.021808,718,193629
2017-10-28,0.017734,0.021307,0.016858,0.021228,306,161993
2017-10-27,0.018505,0.021783,0.015574,0.017688,608,169038
2017-10-26,0.018530,0.028530,0.015994,0.018504,3604,169269
2017-10-25,0.005894,0.026870,0.005894,0.020466,4827,53837
2017-10-24,0.003909,0.008234,0.003909,0.005891,3503,35712
2017-10-23,0.003862,0.005728,0.003284,0.003922,2632,35280
2017-10-22,0.004410,0.007067,0.003062,0.003074,1623,40284
2017-10-21,0.006664,0.007015,0.004016,0.004409,2399,60874
2017-10-20,0.009557,0.010514,0.005652,0.006678,1901,87305
2017-10-19,0.036152,0.036302,0.003787,0.009555,3527,330239
2017-10-18,0.050853,0.053426,0.030405,0.036183,5868,464527
2017-10-17,0.056175,0.056262,0.045877,0.051079,2013,513146
2017-10-16,0.053620,0.074833,0.032329,0.056172,2693,489802
2017-10-15,0.060945,0.063861,0.043046,0.053597,2211,556716
2017-10-14,0.048497,0.071404,0.041582,0.060839,2249,443012
2017-10-13,0.042883,0.052214,0.040193,0.048453,1912,391725
2017-10-12,0.052957,0.054085,0.027066,0.042673,3409,483752
2017-10-11,0.050164,0.055235,0.044436,0.052958,413,458236
2017-10-10,0.044139,0.050346,0.032166,0.050159,2494,403203
2017-10-09,0.061149,0.061312,0.044000,0.044031,905,558580
2017-10-08,0.055426,0.061200,0.041030,0.061146,3267,506299
2017-10-07,0.053728,0.063063,0.039426,0.055557,2842,490793
2017-10-06,0.032519,0.063820,0.028503,0.053761,2326,297049
2017-10-05,0.056384,0.062545,0.031029,0.032519,1348,515056
2017-10-04,0.062352,0.065344,0.049036,0.056382,2823,569568
2017-10-03,0.053132,0.067326,0.051281,0.062212,548,485346
2017-10-02,0.055084,0.057972,0.043193,0.053125,3029,503176
2017-10-01,0.053235,0.055924,0.037008,0.055062,2411,486293
2017-09-30,0.042556,0.053212,0.042528,0.053207,957,388741
2017-09-29,0.060301,0.060381,0.041903,0.042429,1315,550834
2017-09-28,0.052727,0.061163,0.029094,0.060337,1804,481644
2017-09-27,0.055422,0.062081,0.049998,0.051175,953,506262
2017-09-26,0.030272,0.059988,0.030103,0.056444,1562,276523
2017-09-25,0.061600,0.062898,0.028849,0.030141,81,562701
2017-09-24,0.055066,0.062706,0.050921,0.061663,550,503019
2017-09-23,0.065688,0.067521,0.037886,0.055062,1791,600042
2017-09-22,0.057717,0.066788,0.051457,0.065874,2427,527232
2017-09-21,0.053380,0.063143,0.052103,0.057783,1453,487609
2017-09-20,0.062177,0.066746,0.053681,0.053795,1224,567968
2017-09-19,0.065707,0.066133,0.041934,0.062279,1496,600217
2017-09-18,0.058619,0.067964,0.042194,0.065481,1897,535470
2017-09-17,0.064118,0.064404,0.056538,0.058760,1615,585704
2017-09-16,0.059394,0.065855,0.052606,0.064142,1373,542550
2017-09-15,0.059286,0.063465,0.029219,0.059510,1386,541565
2017-09-14,0.071590,0.073122,0.053142,0.058791,1746,653953
2017-09-13,0.065230,0.104372,0.060197,0.071621,1827,595861
2017-09-12,0.077055,0.087967,0.030488,0.065505,590,703878
2017-09-11,0.079121,0.083757,0.032807,0.076970,1711,722750
