Date,Open,High,Low,Close,Volume,Market_cap
2017-09-24,2.28,2.79,2.19,2.21,593,1879210
2017-09-23,2.17,2.29,2.15,2.28,2,1789400
2017-09-22,3.92,3.92,2.13,2.17,87,3236320
2017-09-21,2.36,5.47,2.33,3.92,13,1951640
2017-09-20,2.90,2.90,2.25,2.38,653,2391720
2017-09-19,3.27,3.33,2.80,2.90,5072,2699550
2017-09-18,2.80,3.26,2.22,3.26,9922,2315390
2017-09-17,2.89,2.95,2.46,2.81,1912,2386920
2017-09-16,2.72,2.91,2.41,2.89,8152,2243440
2017-09-15,2.16,2.90,2.15,2.72,2020,1785370
2017-09-14,3.15,3.20,2.12,2.15,3560,2603230
2017-09-13,2.38,3.47,2.35,3.15,1728,1962540
2017-09-12,3.31,3.92,2.37,2.38,1595,2733140
2017-09-11,4.09,4.23,3.23,3.31,3232,3378940
2017-09-10,3.88,4.09,3.16,4.08,7589,3205780
2017-09-09,3.63,3.98,3.11,3.88,5534,2998010
2017-09-08,15.04,15.04,3.14,3.82,13347,12417100
2017-09-07,4.87,23.42,4.35,15.02,7105,4016620
2017-09-06,8.41,9.33,4.25,4.87,12308,6941060
2017-09-05,4.78,9.49,3.79,8.37,12677,3946410
2017-09-04,5.65,22.47,4.19,4.76,21457,4668380
2017-09-03,3.68,30.26,2.96,5.67,19728,3037590
2017-09-02,4.33,4.33,2.94,3.68,3506,3573000
2017-09-01,4.54,5.42,2.92,4.32,5187,3745620
2017-08-31,5.22,5.22,3.37,4.54,10486,4308400
2017-08-30,8.18,12.48,5.10,5.22,36783,6752480
2017-08-29,5.88,8.26,3.06,8.19,57201,4853030
2017-08-28,2.37,10.80,2.11,5.88,159802,1954060
2017-08-27,2.60,2.64,2.19,2.36,17772,2148690
2017-08-26,2.17,2.92,1.89,2.60,30397,1794210
2017-08-25,1.96,2.34,1.89,2.17,3451,1617510
2017-08-24,2.31,2.48,1.95,1.96,17507,1910340
2017-08-23,2.08,2.38,1.92,2.31,17864,1717520
2017-08-22,2.05,2.19,1.75,2.08,18128,1691130
2017-08-21,1.99,2.36,1.93,2.10,17843,1644950
2017-08-20,1.66,2.21,1.64,2.00,19857,1370100
2017-08-19,2.69,2.73,1.66,1.67,14710,2223220
2017-08-18,2.91,3.31,2.51,2.69,20461,2401780
2017-08-17,2.79,3.13,2.60,2.92,19973,2299460
2017-08-16,3.09,3.11,1.56,2.79,20638,2554390
2017-08-15,2.00,3.13,1.33,3.09,37258,1647130
2017-08-14,1.76,2.49,1.54,1.99,374,1448930
2017-08-13,2.22,2.70,1.52,1.75,3055,1830960
2017-08-12,2.12,2.73,2.12,2.22,4927,1750090
2017-08-11,2.73,2.73,2.00,2.12,3866,2249930
2017-08-10,3.07,3.24,2.32,2.73,9205,2533180
2017-08-09,2.22,3.27,2.18,3.26,26750,1830000
2017-08-08,2.57,2.73,2.22,2.22,5373,2123960
2017-08-07,2.65,2.84,2.51,2.57,66859,2186840
2017-08-06,2.67,2.95,2.60,2.65,28468,2207280
2017-08-05,2.42,3.06,2.42,2.67,122007,1998680
2017-08-04,3.08,3.09,2.34,2.42,75391,2545470
2017-08-03,2.57,4.19,2.57,3.07,22905,2122370
2017-08-02,2.44,2.73,2.31,2.73,825,2013510
2017-08-01,2.55,2.61,2.37,2.44,102918,2105950
2017-07-31,2.64,2.64,2.47,2.55,82791,2179080
2017-07-30,2.75,2.86,2.40,2.64,3777,2272330
2017-07-29,2.87,2.88,2.53,2.75,9258,2368930
2017-07-28,2.67,3.38,2.64,2.88,18366,2207360
2017-07-27,2.97,3.28,2.67,2.67,13449,2448550
2017-07-26,3.93,4.00,2.85,2.96,6835,3241730
2017-07-25,5.71,6.11,3.74,3.92,16246,4713690
2017-07-24,4.68,6.97,4.12,5.51,334513,3863760
2017-07-23,3.51,5.05,2.01,4.64,425983,2900190
2017-07-22,1.40,3.51,1.39,3.51,610754,1152790
2017-07-21,1.57,1.58,1.32,1.40,26092,1298580
2017-07-20,1.37,1.61,1.25,1.56,14273,1128220
2017-07-19,1.34,1.49,1.26,1.37,4199,1106080
2017-07-18,1.58,1.62,1.25,1.34,11908,1304570
2017-07-17,1.13,1.58,1.12,1.58,8511,934934
2017-07-16,1.38,1.89,1.10,1.14,28713,1140770
2017-07-15,1.33,1.46,1.13,1.39,39505,1098810
2017-07-14,1.42,1.63,1.22,1.33,27501,1173030
2017-07-13,1.64,1.64,1.13,1.42,41381,1353740
2017-07-12,1.08,1.65,1.03,1.64,67412,890268
2017-07-11,3.52,3.64,1.04,1.14,6268,2906970
2017-07-10,1.49,3.57,1.13,3.54,209864,1231990
2017-07-09,1.33,1.52,1.12,1.49,21216,1097300
2017-07-08,1.08,1.34,1.06,1.33,9497,889350
2017-07-07,1.26,1.43,1.04,1.08,6344,1042850
2017-07-06,1.39,1.67,1.02,1.26,18426,1150380
2017-07-05,1.67,1.68,1.28,1.39,23862,1382470
2017-07-04,1.51,1.84,1.49,1.68,26481,1245230
2017-07-03,1.78,1.78,0.898405,1.51,26441,1466840
2017-07-02,1.81,1.89,1.51,1.78,19066,1490570
2017-07-01,1.64,1.86,1.29,1.74,5707,1351770
2017-06-30,1.95,1.95,1.52,1.64,3120,1607280
2017-06-29,1.31,2.01,1.30,1.94,13690,1080170
2017-06-28,1.57,1.78,1.26,1.31,10311,1299430
2017-06-27,1.80,1.87,1.23,1.56,12190,1482260
2017-06-26,1.73,3.03,1.27,1.74,19444,1431180
2017-06-25,1.15,1.81,1.07,1.79,6450,948464
2017-06-24,2.01,2.04,0.924308,1.15,11931,2032500
2017-06-23,0.480043,1.38,0.479489,1.37,3629,-
