Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.88,1.95,1.63,1.89,100,-
2017-11-23,1.94,1.94,1.88,1.88,57,-
2017-11-22,1.90,1.95,1.89,1.94,95,-
2017-11-21,2.02,2.16,1.82,1.89,25,-
2017-11-20,2.20,2.35,2.00,2.02,175,-
2017-11-19,2.37,2.37,2.15,2.20,316,-
2017-11-18,2.22,2.39,2.04,2.37,743,-
2017-11-17,2.00,2.24,1.99,2.23,192,-
2017-11-16,1.71,2.16,1.69,2.12,167,-
2017-11-15,1.55,2.09,1.55,1.70,185,-
2017-11-14,1.52,2.22,1.50,1.55,169,-
2017-11-13,1.98,2.24,1.35,1.51,275,-
2017-11-12,1.71,2.10,1.33,1.98,140,-
2017-11-11,2.07,2.35,1.28,1.71,502,-
2017-11-10,2.46,2.57,2.05,2.07,48,-
2017-11-09,2.43,2.51,2.15,2.45,128,-
2017-11-08,2.28,2.56,2.00,2.44,181,-
2017-11-07,2.30,2.67,2.25,2.28,195,-
2017-11-06,2.37,2.43,2.15,2.30,21,-
2017-11-05,2.51,2.63,2.33,2.36,117,-
2017-11-04,2.51,2.65,2.43,2.51,366,-
2017-11-03,2.39,2.57,2.36,2.51,141,-
2017-11-02,2.22,2.49,2.22,2.39,107,-
2017-11-01,2.58,2.58,2.07,2.22,196,-
2017-10-31,2.34,2.69,2.20,2.58,226,-
2017-10-30,2.20,2.41,2.18,2.35,67,-
2017-10-29,2.04,2.38,2.03,2.21,137,-
2017-10-28,2.05,2.09,2.02,2.04,72,-
2017-10-27,2.07,2.12,1.90,2.04,9,-
2017-10-26,1.95,2.10,1.85,2.07,186,-
2017-10-25,1.80,2.00,1.77,1.96,362,-
2017-10-24,2.40,2.40,1.74,1.80,419,-
2017-10-23,2.01,2.46,1.94,2.41,221,-
2017-10-22,2.33,2.59,1.93,2.02,104,-
2017-10-21,2.33,2.38,1.85,2.33,423,-
2017-10-20,1.92,3.06,1.77,2.33,367,-
2017-10-19,1.73,1.94,1.71,1.92,69,-
2017-10-18,1.85,1.85,1.59,1.73,74,-
2017-10-17,1.79,1.97,1.77,1.85,44,-
2017-10-16,1.76,2.18,1.73,1.79,299,-
2017-10-15,2.40,2.91,1.64,2.00,327,-
2017-10-14,2.32,2.99,2.30,2.40,187,-
2017-10-13,2.80,3.04,2.27,2.32,127,-
2017-10-12,1.98,2.79,1.98,2.79,82,-
2017-10-11,2.62,2.64,1.60,1.98,330,-
2017-10-10,2.52,2.83,2.41,2.62,91,-
2017-10-09,2.20,3.11,2.19,2.52,607,-
2017-10-08,2.11,2.37,2.10,2.20,28,-
2017-10-07,2.24,2.59,2.02,2.11,199,-
2017-10-06,2.82,2.82,1.40,2.23,788,-
2017-10-05,2.56,3.01,2.44,2.82,1076,-
2017-10-04,2.97,2.99,2.52,2.56,394,-
2017-10-03,2.51,3.18,2.49,2.96,209,-
2017-10-02,2.37,3.43,2.37,2.51,194,-
2017-10-01,2.75,3.73,2.31,2.37,271,-
2017-09-30,3.64,4.36,2.73,2.75,323,-
2017-09-29,4.48,4.83,2.64,3.64,1003,-
2017-09-28,4.33,4.88,3.83,4.49,257,-
2017-09-27,5.75,5.94,3.46,4.33,4137,-
2017-09-26,7.50,7.90,5.76,5.77,23964,-
2017-09-25,6.98,7.91,5.59,5.93,110945,-
2017-09-24,7.65,7.93,6.59,6.98,471,-
2017-09-23,10.16,10.41,7.28,7.65,7580,-
2017-09-22,13.03,13.53,7.42,10.19,135131,-
2017-09-21,3.61,15.15,3.55,13.05,86303,-
2017-09-20,3.67,3.76,3.44,3.63,231,-
2017-09-19,3.61,3.80,3.40,3.68,6,-
2017-09-18,3.33,3.70,3.32,3.60,769,-
2017-09-17,3.34,3.42,3.14,3.33,19,-
2017-09-16,3.24,3.39,3.10,3.35,1,-
2017-09-15,2.83,3.34,2.61,3.25,672,-
2017-09-14,3.68,3.73,2.81,2.81,168,-
2017-09-13,3.64,5.53,3.32,3.68,2652,-
2017-09-12,4.63,4.80,3.64,3.66,58,-
2017-09-11,6.25,6.25,3.84,4.63,491,-
2017-09-10,6.49,6.84,4.94,6.23,71248,-
2017-09-09,2.01,6.53,1.99,6.42,160979,-
2017-09-08,2.39,2.43,1.92,2.00,19,-
2017-09-07,3.03,3.07,2.95,3.04,1,-
2017-09-06,2.65,3.03,2.65,3.03,1,-
2017-09-05,2.16,3.47,1.90,2.65,65,-
2017-09-04,1.89,3.83,1.86,2.14,609,-
2017-09-03,1.85,1.90,1.77,1.89,10,-
2017-09-02,1.97,2.71,1.80,1.84,12,-
2017-09-01,1.90,3.01,1.88,1.97,146,-
2017-08-31,3.28,3.31,1.89,1.89,213,-
2017-08-30,3.06,3.29,3.00,3.29,89,-
2017-08-29,3.17,3.18,2.91,3.07,97,-
2017-08-28,3.26,3.26,2.90,3.17,211,-
2017-08-27,3.24,3.30,3.04,3.26,55381,-
2017-08-26,2.91,3.67,2.86,3.24,170144,-
2017-08-25,3.54,3.64,2.87,2.91,410,-
2017-08-24,2.90,3.58,2.48,3.55,84173,-
2017-08-23,1.31,3.50,1.30,2.90,77387,-
2017-08-22,1.28,1.33,1.16,1.31,81,-
2017-08-21,1.30,1.31,1.27,1.28,18,-
2017-08-20,1.43,1.70,1.29,1.30,77,-
2017-08-19,1.30,1.44,1.25,1.44,9,-
2017-08-18,1.35,1.52,1.26,1.30,12,-
2017-08-17,1.54,1.82,1.33,1.35,19,-
2017-08-16,1.46,1.54,1.27,1.54,39,-
2017-08-15,1.36,1.65,1.22,1.46,43,-
2017-08-14,1.83,1.85,1.27,1.36,107,-
2017-08-13,1.20,2.05,1.20,1.83,74,-
2017-08-12,2.92,3.10,1.17,1.47,544,-
2017-08-11,2.29,3.33,1.71,2.92,15172,-
2017-08-10,1.26,3.10,1.14,2.29,51758,-
2017-08-09,0.854753,1.27,0.814718,1.26,19,-
2017-08-08,0.882457,0.882457,0.837527,0.855332,9,-
2017-08-07,0.837368,1.16,0.830062,0.881566,27,-
2017-08-06,0.978548,1.25,0.836582,0.839243,25,-
2017-08-05,0.857432,0.978408,0.825571,0.978311,736,-
2017-08-04,1.09,1.09,0.831405,0.857811,19,-
2017-08-03,0.812195,1.11,0.811686,1.09,28,-
2017-08-02,0.819726,0.827159,0.798199,0.810747,44,-
2017-08-01,0.887944,0.901821,0.798261,0.819882,18,-
2017-07-31,0.851031,1.39,0.839262,0.887515,28,-
2017-07-30,1.51,1.51,0.795099,0.850159,37,-
2017-07-29,1.63,1.64,0.975473,1.51,101,-
2017-07-28,1.63,2.12,1.61,1.65,319,-
2017-07-27,1.53,2.20,1.53,1.62,69531,-
2017-07-26,1.29,2.13,1.29,1.53,51878,-
2017-07-25,1.39,1.40,1.23,1.29,93,-
2017-07-24,1.38,1.41,1.36,1.39,133,-
2017-07-23,1.42,1.44,1.34,1.39,161,-
2017-07-22,1.20,1.55,1.20,1.42,10111,-
2017-07-21,1.27,1.48,0.833012,1.20,52186,-
2017-07-20,0.642917,1.46,0.461576,1.27,43766,-
2017-07-19,1.14,1.32,0.426741,0.644855,79064,-
2017-07-18,0.276192,1.16,0.267445,1.13,40445,-
2017-07-17,0.238673,0.351093,0.238673,0.275481,100,-
2017-07-16,0.220472,0.448574,0.205578,0.238938,1725,-
2017-07-15,0.246375,0.292868,0.221136,0.221136,1,-
2017-07-14,0.259947,0.328709,0.239644,0.246798,55,-
2017-07-13,0.264900,0.268325,0.257680,0.260137,78,-
2017-07-12,0.253409,0.373215,0.246952,0.264702,17,-
2017-07-11,0.234994,0.264803,0.232890,0.254674,202,-
2017-07-10,0.162839,0.600071,0.154700,0.235495,1461,-
2017-07-09,0.281781,1.32,0.138448,0.150021,104411,-
2017-07-08,0.296145,0.296175,0.274398,0.281530,881,-
2017-07-07,0.307533,0.308180,0.273518,0.276274,23,-
2017-07-06,0.415963,0.480403,0.297121,0.307307,182,-
2017-07-05,0.286309,0.901283,0.279163,0.415756,962,-
2017-07-04,0.727401,0.750887,0.254807,0.286464,57,-
2017-07-03,0.737185,0.798021,0.382649,0.729058,289,-
2017-07-02,0.885225,0.961118,0.493091,0.739910,633,-
2015-06-20,0.000098,0.000098,0.000096,0.000098,0,11
2015-06-19,0.000100,0.000100,0.000096,0.000098,0,11
2015-06-18,0.000100,0.000101,0.000098,0.000100,0,11
2015-06-17,0.000113,0.000115,0.000099,0.000100,0,12
2015-06-16,0.000356,0.000357,0.000112,0.000113,5,39
2015-06-15,0.000105,0.000107,0.000105,0.000107,0,12
2015-06-14,0.001169,0.001520,0.000105,0.000105,1,129
2015-06-13,0.000147,0.000148,0.000147,0.000148,0,16
2015-06-12,0.000219,0.000225,0.000146,0.000147,1,24
2015-06-11,0.000116,0.000223,0.000116,0.000219,1,13
2015-06-10,0.000069,0.000225,0.000069,0.000116,2,8
2015-06-09,0.000098,0.000099,0.000069,0.000069,0,11
2015-06-08,0.000100,0.000151,0.000098,0.000098,1,11
2015-06-07,0.000059,0.000100,0.000058,0.000100,0,6
2015-06-06,0.000164,0.000186,0.000059,0.000059,0,18
2015-06-05,0.000104,0.000178,0.000090,0.000164,2,12
2015-06-04,0.000255,0.000255,0.000044,0.000104,1,28
2015-06-03,0.001016,0.005427,0.000203,0.000258,153,112
2015-06-02,0.001228,0.001567,0.000586,0.001016,41,136
2015-06-01,0.001209,0.001618,0.000443,0.001228,54,133
2015-05-31,0.001504,0.001522,0.000467,0.001208,36,166
2015-05-30,0.001612,0.001612,0.000464,0.001505,61,178
2015-05-29,0.000230,0.001661,0.000229,0.001612,27,25
2015-05-28,0.000275,0.002132,0.000230,0.000230,124,30
2015-05-27,0.000249,0.000344,0.000216,0.000275,5,27
2015-05-26,0.000579,0.000580,0.000164,0.000249,13,64
2015-05-25,0.000723,0.001782,0.000163,0.000579,14,80
2015-05-24,0.000320,0.001683,0.000289,0.000723,254,35
2015-05-23,0.000175,0.000841,0.000159,0.000320,34,19
2015-05-22,0.000289,0.000291,0.000175,0.000175,4,32
2015-05-21,0.000159,0.000293,0.000152,0.000289,11,18
2015-05-20,0.000336,0.000337,0.000156,0.000159,5,37
2015-05-19,0.000182,0.000346,0.000165,0.000336,7,20
2015-05-18,0.000263,0.000351,0.000142,0.000182,20,29
2015-05-17,0.000314,0.000472,0.000262,0.000263,7,35
2015-05-16,0.000630,0.000630,0.000314,0.000314,6,70
2015-05-15,0.000237,0.001184,0.000218,0.000630,141,26
2015-05-14,0.000397,0.000398,0.000234,0.000237,2,44
2015-05-13,0.000084,0.000409,0.000078,0.000397,25,9
2015-05-12,0.000133,0.000295,0.000060,0.000084,13,15
2015-05-11,0.000216,0.000218,0.000116,0.000133,6,24
2015-05-10,0.000097,0.000291,0.000096,0.000216,12,11
2015-05-09,0.000285,0.000320,0.000097,0.000097,22,31
2015-05-08,0.000256,0.000387,0.000242,0.000285,18,28
2015-05-07,0.000239,0.000302,0.000229,0.000256,7,26
2015-05-06,0.000253,0.000341,0.000230,0.000239,8,28
2015-05-05,0.000225,0.000401,0.000220,0.000253,6,25
2015-05-04,0.000331,0.001708,0.000224,0.000225,47,37
2015-05-03,0.000254,0.002319,0.000253,0.000331,118,28
2015-05-02,0.000239,0.000330,0.000239,0.000254,2,26
2015-05-01,0.000241,0.000364,0.000239,0.000239,3,27
2015-04-30,0.000404,0.000404,0.000207,0.000241,4,45
2015-04-29,0.000226,0.000406,0.000206,0.000405,9,25
2015-04-28,0.000250,0.000250,0.000225,0.000226,1,28
2015-04-27,0.000388,0.000391,0.000246,0.000250,3,43
2015-04-26,0.000331,0.000390,0.000272,0.000388,4,36
2015-04-25,0.000395,0.000410,0.000330,0.000331,3,44
2015-04-24,0.000422,0.000427,0.000358,0.000395,6,47
2015-04-23,0.000442,0.000445,0.000357,0.000423,23,49
2015-04-22,0.000285,0.000450,0.000283,0.000443,2,31
2015-04-21,0.000292,0.000296,0.000282,0.000285,3,32
2015-04-20,0.000292,0.000317,0.000291,0.000292,1,32
2015-04-19,0.000294,0.000396,0.000292,0.000292,4,32
2015-04-18,0.000206,0.000299,0.000205,0.000294,5,23
2015-04-17,0.000272,0.000323,0.000204,0.000206,4,30
2015-04-16,0.000204,0.000727,0.000203,0.000272,11,22
2015-04-15,0.000331,0.000331,0.000200,0.000204,4,37
2015-04-14,0.000337,0.000337,0.000327,0.000331,1,37
2015-04-13,0.000521,0.000524,0.000333,0.000337,6,58
2015-04-12,0.000232,0.000539,0.000210,0.000522,13,26
2015-04-11,0.000267,0.000271,0.000231,0.000232,1,29
2015-04-10,0.000278,0.000278,0.000264,0.000267,4,31
2015-04-09,0.000563,0.000664,0.000277,0.000278,11,62
2015-04-08,0.000347,0.000618,0.000222,0.000564,15,38
2015-04-07,0.000485,0.000636,0.000347,0.000347,9,54
2015-04-06,0.000524,0.000524,0.000437,0.000485,7,58
2015-04-05,0.000535,0.000568,0.000514,0.000524,2,59
2015-04-04,0.000699,0.000702,0.000535,0.000535,2,77
2015-04-03,0.000537,0.000795,0.000534,0.000699,7,59
2015-04-02,0.000499,0.001191,0.000499,0.000536,13,55
2015-04-01,0.000447,0.000513,0.000439,0.000499,3,49
2015-03-31,0.000354,0.000780,0.000354,0.000447,3,39
2015-03-30,0.000434,0.001152,0.000271,0.000354,12,48
2015-03-29,0.000253,0.000434,0.000241,0.000434,6,28
2015-03-28,0.000247,0.000254,0.000247,0.000253,1,27
2015-03-27,0.000248,0.000259,0.000245,0.000247,1,27
2015-03-26,0.000248,0.000255,0.000247,0.000248,1,27
2015-03-25,0.000244,0.000251,0.000238,0.000248,2,27
2015-03-24,0.000267,0.000267,0.000242,0.000242,3,29
2015-03-23,0.000265,0.000277,0.000262,0.000267,1,29
2015-03-22,0.000252,0.000268,0.000252,0.000265,5,28
2015-03-21,0.000256,0.000260,0.000229,0.000252,4,28
2015-03-20,0.000308,0.000419,0.000253,0.000256,24,34
2015-03-19,0.000388,0.000420,0.000178,0.000308,4,43
2015-03-18,0.000442,0.001169,0.000382,0.000389,4,49
2015-03-17,0.000723,0.000729,0.000427,0.000443,3,80
2015-03-16,0.000423,0.001370,0.000423,0.000723,27,47
2015-03-15,0.000420,0.000566,0.000378,0.000424,6,46
2015-03-14,0.000427,0.000427,0.000389,0.000421,3,47
2015-03-13,0.000525,0.000526,0.000405,0.000428,4,58
