Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.155501,0.166009,0.150711,0.151850,140111,559283
2017-11-23,0.167490,0.184308,0.147196,0.155714,133842,595702
2017-11-22,0.153762,0.167609,0.144739,0.166723,129669,540294
2017-11-21,0.142377,0.171800,0.137980,0.141037,137785,494263
2017-11-20,0.147918,0.173194,0.136984,0.149899,132398,507379
2017-11-19,0.143591,0.152147,0.133348,0.142413,133969,486757
2017-11-18,0.128368,0.150846,0.125577,0.143812,123279,429923
2017-11-17,0.134379,0.162439,0.126559,0.127991,122942,444468
2017-11-16,0.155628,0.170153,0.117351,0.161537,168779,508249
2017-11-15,0.163505,0.180483,0.145752,0.160723,102749,527097
2017-11-14,0.184431,0.184431,0.152950,0.163403,80602,586992
2017-11-13,0.170136,0.191081,0.158030,0.183946,70766,534646
2017-11-12,0.202858,0.211503,0.159457,0.170074,63282,629197
2017-11-11,0.202557,0.236856,0.193400,0.201316,72697,619850
2017-11-10,0.224701,0.251556,0.202212,0.203281,56046,678699
2017-11-09,0.242990,0.254042,0.223499,0.224035,64053,723854
2017-11-08,0.202881,0.254993,0.191942,0.242720,62448,595929
2017-11-07,0.173975,0.228173,0.162965,0.203424,69722,503708
2017-11-06,0.191118,0.216444,0.170102,0.178191,65763,545034
2017-11-05,0.181838,0.235797,0.176842,0.190585,69516,510526
2017-11-04,0.171719,0.206298,0.167398,0.182161,58820,474316
2017-11-03,0.151352,0.210087,0.144816,0.172168,62750,411518
2017-11-02,0.176155,0.192490,0.150915,0.151496,60095,471058
2017-11-01,0.170120,0.179722,0.164389,0.175938,59049,447140
2017-10-31,0.203810,0.210145,0.156608,0.170323,62025,526648
2017-10-30,0.212352,0.217153,0.168510,0.204369,39013,539054
2017-10-29,0.168229,0.244260,0.150935,0.213522,22142,419589
2017-10-28,0.172269,0.176860,0.153796,0.168514,21257,422114
2017-10-27,0.188554,0.206004,0.166311,0.166770,21389,453722
2017-10-26,0.183844,0.199004,0.178137,0.188419,16684,434003
2017-10-25,0.181276,0.191548,0.174967,0.183359,21870,419839
2017-10-24,0.190103,0.207248,0.179820,0.181239,23416,431838
2017-10-23,0.203057,0.215693,0.187159,0.190855,21625,452163
2017-10-22,0.207713,0.218193,0.191694,0.198754,16176,453220
2017-10-21,0.236242,0.248780,0.183566,0.208015,16856,504880
2017-10-20,0.217972,0.252980,0.214340,0.237558,10077,456141
2017-10-19,0.190022,0.240239,0.189607,0.223966,19994,389648
2017-10-18,0.223973,0.223979,0.173776,0.190119,32003,449307
2017-10-17,0.271615,0.278161,0.223250,0.251874,16373,532784
2017-10-16,0.284595,0.315721,0.263746,0.271488,12697,545422
2017-10-15,0.349847,0.357851,0.269377,0.284557,35424,654921
2017-10-14,0.263159,0.356521,0.236482,0.348155,24759,-
2017-10-13,0.266594,0.363745,0.174831,0.263001,24036,-
2017-10-12,0.283783,0.435631,0.083021,0.264197,43432,-
2017-10-11,0.316247,0.359108,0.270742,0.284955,16779,-
2017-10-10,0.406824,0.447430,0.220018,0.316434,33133,-
2017-10-09,0.460279,0.828898,0.404834,0.406855,50959,-
2017-10-08,0.306742,0.460708,0.306742,0.457219,32591,-
2017-10-07,0.199248,0.391722,0.198730,0.312426,19143,-
