Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.003505,0.005512,0.003132,0.003137,8964,-
2017-11-23,0.003658,0.005896,0.003272,0.003510,11454,-
2017-11-22,0.002678,0.003674,0.002584,0.003658,652,-
2017-11-21,0.003092,0.003092,0.002460,0.002672,362,-
2017-11-20,0.002963,0.005006,0.002099,0.003092,618,-
2017-11-19,0.003373,0.003478,0.002818,0.002966,197,-
2017-11-18,0.003297,0.004343,0.002968,0.003379,901,-
2017-11-17,0.003303,0.003947,0.002187,0.003310,2025,-
2017-11-16,0.003537,0.003697,0.003033,0.003308,199,-
2017-11-15,0.003466,0.003661,0.003036,0.003521,300,-
2017-11-14,0.003333,0.003550,0.002779,0.003464,408,-
2017-11-13,0.003517,0.003793,0.003172,0.003326,299,-
2017-11-12,0.004442,0.004442,0.003392,0.003512,608,-
2017-11-11,0.004233,0.004510,0.004103,0.004444,481,-
2017-11-10,0.003653,0.005306,0.003653,0.004247,1954,-
2017-11-09,0.003602,0.005461,0.003426,0.003646,2683,-
2017-11-08,0.003265,0.004097,0.003249,0.003612,126,-
2017-11-07,0.004093,0.004189,0.003230,0.003273,644,-
2017-11-06,0.004318,0.005543,0.004053,0.004099,199,-
2017-11-05,0.004562,0.004572,0.002846,0.004308,356,-
2017-11-04,0.004807,0.005541,0.002994,0.004570,3282,-
2017-11-03,0.002392,0.005653,0.002392,0.004808,2128,-
2017-11-02,0.004173,0.004533,0.002379,0.002385,855,-
2017-11-01,0.003909,0.004500,0.003432,0.004168,115,-
2017-10-31,0.004052,0.004109,0.003500,0.003918,1439,-
2017-10-30,0.003872,0.005044,0.003500,0.004063,1209,-
2017-10-29,0.005050,0.005052,0.003849,0.003894,620,-
2017-10-28,0.004980,0.005076,0.004317,0.005057,772,-
2017-10-27,0.005869,0.006556,0.004621,0.004967,572,-
2017-10-26,0.005643,0.007030,0.004756,0.005870,1978,-
2017-10-25,0.004104,0.005633,0.003536,0.004660,1450,-
2017-10-24,0.005627,0.006031,0.004089,0.004102,1226,-
2017-10-23,0.005080,0.007877,0.004550,0.005638,1059,-
2017-10-22,0.007395,0.007395,0.004690,0.005087,1272,-
2017-10-21,0.006574,0.007403,0.005214,0.007395,3350,-
2017-10-20,0.007344,0.008050,0.006323,0.006587,1782,-
2017-10-19,0.007232,0.007486,0.006417,0.007342,1682,-
2017-10-18,0.006926,0.008044,0.006476,0.007230,1015,-
2017-10-17,0.007598,0.009240,0.006870,0.006925,1666,-
2017-10-16,0.007092,0.008271,0.006776,0.007596,564,-
2017-10-15,0.007754,0.007896,0.005838,0.007091,1641,-
2017-10-14,0.005801,0.008096,0.005703,0.007740,937,-
2017-10-13,0.007472,0.009193,0.005687,0.005799,554,-
2017-10-12,0.007320,0.008518,0.006727,0.007451,2660,-
2017-10-11,0.008849,0.008945,0.003702,0.007314,5368,-
2017-10-10,0.010328,0.010483,0.006123,0.008851,6854,-
2017-10-09,0.010131,0.011335,0.009281,0.010327,6632,-
2017-10-08,0.010592,0.012472,0.009092,0.010129,2850,-
2017-10-07,0.010674,0.014171,0.008730,0.010620,10452,-
2017-10-06,0.013550,0.014713,0.009727,0.010671,5372,-
2017-10-05,0.012218,0.014593,0.011899,0.013841,7381,-
2017-10-04,0.009919,0.014423,0.009919,0.012210,8562,-
2017-10-03,0.010267,0.010954,0.009365,0.009896,2633,-
2017-10-02,0.009526,0.011330,0.009000,0.010266,7483,-
2017-10-01,0.009565,0.012949,0.008324,0.009530,12079,-
2017-09-30,0.007070,0.009560,0.006345,0.009560,16243,-
2017-09-29,0.007543,0.008156,0.005520,0.007069,3463,-
2017-09-28,0.008033,0.008081,0.006945,0.007549,4000,-
2017-09-27,0.007651,0.009859,0.007105,0.008033,2156,-
2017-09-26,0.009299,0.009321,0.007046,0.007673,2860,-
2017-09-25,0.010100,0.010297,0.009277,0.009300,5231,-
2017-09-24,0.010271,0.010717,0.008529,0.010329,6147,-
2017-09-23,0.007444,0.011408,0.007426,0.010273,7338,-
