Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000204,0.000248,0.000200,0.000247,7,-
2017-11-23,0.000247,0.000248,0.000161,0.000161,6,-
2017-11-22,0.000243,0.000249,0.000242,0.000247,75,-
2017-11-21,0.000247,0.000251,0.000234,0.000243,44,-
2017-11-20,0.000241,0.000249,0.000238,0.000247,1,-
2017-11-19,0.000234,0.000313,0.000231,0.000241,32,-
2017-11-18,0.000157,0.000236,0.000150,0.000234,1,-
2017-11-17,0.000157,0.000164,0.000084,0.000158,98,-
2017-11-16,0.000292,0.000292,0.000143,0.000157,7,-
2017-11-15,0.000204,0.000293,0.000204,0.000290,68,-
2017-11-14,0.000250,0.000269,0.000199,0.000204,19,-
2017-11-13,0.000169,0.000336,0.000169,0.000249,2,-
2017-11-12,0.000191,0.000191,0.000111,0.000169,7,-
2017-11-11,0.000306,0.000337,0.000187,0.000191,9,-
2017-11-10,0.000326,0.000348,0.000197,0.000307,371,-
2017-11-09,0.000193,0.000332,0.000188,0.000325,398,-
2017-11-08,0.000213,0.000225,0.000149,0.000193,45,-
2017-11-07,0.000213,0.000216,0.000210,0.000214,108,-
2017-11-06,0.000193,0.000223,0.000185,0.000209,1,-
2017-11-05,0.000221,0.000225,0.000177,0.000193,64,-
2017-11-04,0.000287,0.000290,0.000219,0.000222,14,-
2017-11-03,0.000195,0.000299,0.000193,0.000287,1,-
2017-11-02,0.000202,0.000210,0.000142,0.000196,120,-
2017-11-01,0.000193,0.000202,0.000191,0.000202,2,-
2017-10-31,0.000191,0.000193,0.000189,0.000193,2,-
2017-10-29,0.000229,0.000234,0.000229,0.000233,1,-
2017-10-28,0.000231,0.000235,0.000227,0.000229,1,-
2017-10-27,0.000177,0.000231,0.000174,0.000230,1,-
2017-10-26,0.000172,0.000180,0.000171,0.000177,22,-
2017-10-25,0.000166,0.000172,0.000161,0.000172,4,-
2017-10-24,0.000176,0.000176,0.000165,0.000165,85,-
2017-10-23,0.000239,0.000241,0.000170,0.000176,16,-
2017-10-22,0.000180,0.000240,0.000174,0.000240,16,-
2017-10-21,0.000199,0.000201,0.000177,0.000180,50,-
2017-10-20,0.000228,0.000240,0.000197,0.000199,131,-
2017-10-19,0.000221,0.000230,0.000219,0.000228,250,-
2017-10-18,0.000222,0.000222,0.000202,0.000221,79,-
2017-10-17,0.000231,0.000232,0.000206,0.000222,29,-
2017-10-16,0.000228,0.000232,0.000223,0.000231,1,-
2017-10-15,0.000234,0.000235,0.000218,0.000228,13,-
2017-10-14,0.000228,0.000289,0.000226,0.000234,193,-
2017-10-13,0.000272,0.000272,0.000226,0.000228,37,-
