Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,2.57,2.67,2.52,2.62,4,-
2017-11-23,2.64,2.65,2.58,2.58,4,-
2017-11-22,2.60,2.66,2.59,2.64,27,-
2017-11-21,2.65,2.66,2.51,2.60,26,-
2017-11-20,3.15,3.15,2.58,2.65,15,-
2017-11-19,3.02,3.17,3.02,3.15,1,-
2017-11-18,2.47,2.51,2.40,2.49,45,-
2017-11-17,3.54,3.62,2.45,2.48,55,-
2017-11-16,3.28,3.61,3.21,3.54,3,-
2017-11-15,2.53,3.29,2.53,3.26,13,-
2017-11-14,3.26,3.36,2.50,2.53,49,-
2017-11-13,3.11,3.45,3.08,3.26,50,-
2017-11-12,3.36,3.40,2.92,3.10,7,-
2017-11-11,3.79,3.93,3.29,3.36,15,-
2017-11-10,4.16,4.28,3.72,3.81,4,-
2017-11-09,4.36,4.36,4.12,4.15,7,-
2017-11-08,4.15,4.58,4.13,4.36,1,-
2017-11-07,4.11,4.17,4.10,4.17,42,-
2017-11-06,4.34,4.36,4.17,4.26,11,-
2017-11-05,4.33,4.45,4.28,4.33,11,-
2017-11-04,4.20,4.43,4.11,4.34,5,-
2017-11-03,4.21,4.41,4.17,4.22,95,-
2017-11-02,4.15,4.39,4.10,4.22,2,-
2017-10-31,3.59,3.76,3.58,3.74,2,-
2017-10-30,3.69,3.73,3.56,3.61,2,-
2017-10-29,3.50,3.79,3.46,3.72,1,-
2017-10-24,3.48,3.48,3.30,3.35,12,-
2017-10-23,3.55,3.60,3.36,3.49,12,-
2017-10-21,3.56,3.67,3.53,3.64,1,-
2017-10-20,3.38,3.62,3.33,3.57,1,-
2017-10-19,3.31,3.40,3.28,3.38,7,-
2017-10-18,2.71,3.32,2.70,3.31,62,-
2017-10-17,2.89,2.90,2.80,2.84,1,-
2017-10-16,2.82,2.90,2.78,2.89,1,-
2017-10-15,2.94,2.95,2.74,2.77,16,-
2017-10-14,2.82,2.94,2.82,2.93,36,-
2017-10-13,2.73,2.95,2.71,2.83,57,-
2017-10-12,4.42,6.30,2.61,2.72,974,-
2017-10-11,2.14,2.15,2.13,2.14,3,-
2017-10-10,4.74,4.74,2.13,2.14,299,-
2017-10-09,2.31,2.32,2.29,2.30,44,-
2017-10-08,1.72,2.32,1.72,2.31,44,-
2017-10-07,1.49,1.73,1.48,1.73,71,-
2017-10-06,1.65,1.69,1.48,1.49,23,-
2017-10-05,1.42,1.67,1.42,1.65,25,-
2017-10-04,1.68,1.69,1.63,1.63,1,-
2017-10-03,1.71,1.72,1.46,1.67,69,-
2017-10-02,1.91,4.39,1.49,1.71,863,-
2017-10-01,1.90,1.91,1.87,1.89,1,-
2017-09-30,1.87,1.91,1.87,1.90,10,-
2017-09-29,1.31,1.32,1.26,1.30,103,-
2017-09-28,1.73,5.12,1.29,1.31,2540,-
2017-09-25,1.24,1.34,1.24,1.32,2,-
2017-09-24,1.42,1.42,1.23,1.24,16,-
2017-09-23,1.45,1.52,1.44,1.52,17,-
2017-09-22,1.45,1.46,1.42,1.45,16,-
2017-09-21,1.56,1.57,1.49,1.50,0,-
2017-09-20,1.61,1.62,1.56,1.57,0,-
2017-09-19,1.65,1.66,1.55,1.57,2,-
2017-09-18,1.61,1.66,1.59,1.64,2,-
2017-09-14,1.64,1.67,1.40,1.45,4,-
2017-09-13,1.66,1.68,1.51,1.64,26,-
2017-09-12,1.64,2.12,1.63,1.67,180,-
2017-09-11,1.62,1.69,1.57,1.64,18,-
2017-09-10,1.73,1.73,1.61,1.62,3,-
2017-09-09,1.62,1.74,1.60,1.74,1,-
2017-09-08,1.85,1.85,1.55,1.62,3,-
2017-09-07,1.45,1.86,1.45,1.85,66,-
2017-09-06,1.37,1.49,1.37,1.43,2,-
2017-09-05,1.33,1.39,1.25,1.37,16,-
