Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.056867,0.062397,0.055100,0.060276,1056310,-
2017-11-23,0.058455,0.096996,0.055746,0.056681,627485,-
2017-11-22,0.058762,0.060380,0.055119,0.058708,890027,-
2017-11-21,0.060756,0.065030,0.057820,0.058492,1522010,-
2017-11-20,0.056923,0.086478,0.056489,0.063743,14809900,-
2017-11-19,0.057480,0.061187,0.056622,0.057175,3225600,-
2017-11-18,0.054208,0.057723,0.052702,0.057485,3377100,-
2017-11-17,0.061416,0.061713,0.053737,0.054157,3224010,-
2017-11-16,0.057843,0.062673,0.057401,0.061737,6381640,-
2017-11-15,0.057684,0.061676,0.056840,0.057779,4296580,-
2017-11-14,0.058818,0.060677,0.055764,0.057631,4953160,-
2017-11-13,0.051610,0.060841,0.051610,0.058811,4325370,-
2017-11-12,0.059473,0.059473,0.046439,0.051544,4882910,-
2017-11-11,0.061032,0.065045,0.056761,0.059396,3472180,-
2017-11-10,0.075202,0.076647,0.059824,0.061604,5725650,-
2017-11-09,0.079610,0.084585,0.070164,0.075062,5765090,-
2017-11-08,0.086800,0.088504,0.066790,0.079690,4494650,-
2017-11-07,0.092293,0.110980,0.087453,0.087453,7490330,-
2017-11-06,0.050717,0.102455,0.050717,0.092920,4616630,-
2017-11-05,0.047973,0.053504,0.046938,0.050305,388346,-
2017-11-04,0.042483,0.050370,0.040918,0.047304,475794,-
2017-11-03,0.045095,0.045748,0.039038,0.043247,590216,-
2017-11-02,0.041027,0.049660,0.039323,0.046433,329087,-
2017-11-01,0.038994,0.042557,0.038256,0.040983,146419,-
2017-10-31,0.035138,0.040257,0.035037,0.039050,121205,-
2017-10-30,0.036459,0.039041,0.033037,0.035242,150048,-
2017-10-29,0.035001,0.038574,0.032765,0.036664,147977,-
2017-10-28,0.038171,0.038600,0.032821,0.033369,137759,-
2017-10-27,0.034920,0.038264,0.034908,0.036508,120996,-
2017-10-26,0.036641,0.037782,0.029515,0.037110,152033,-
2017-10-25,0.038737,0.040157,0.035071,0.036646,195416,-
2017-10-24,0.031400,0.041316,0.029792,0.038212,81458,-
2017-10-23,0.032344,0.033118,0.029377,0.031483,92926,-
2017-10-22,0.030102,0.035057,0.029621,0.032395,184342,-
2017-10-21,0.035995,0.036114,0.030096,0.030096,285461,-
2017-10-20,0.034240,0.037552,0.033183,0.036074,282208,-
2017-10-19,0.034958,0.037077,0.033143,0.034232,393513,-
2017-10-18,0.033628,0.036381,0.032589,0.034945,102971,-
2017-10-17,0.035092,0.037291,0.033077,0.033077,140454,-
2017-10-16,0.034159,0.036939,0.033633,0.035087,100849,-
