Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,310.44,351.50,301.56,346.36,153182000,833750000
2017-11-23,319.45,320.54,303.16,311.55,102568000,855647000
2017-11-22,290.89,321.28,290.89,319.73,139325000,777089000
2017-11-21,301.87,307.82,281.85,290.64,82637900,804205000
2017-11-20,299.32,304.26,296.36,302.17,55245200,795282000
2017-11-19,298.22,302.59,294.51,299.33,53157100,790267000
2017-11-18,290.83,304.79,287.20,298.15,61087000,768597000
2017-11-17,293.39,294.76,283.98,291.19,56387900,773268000
2017-11-16,290.25,320.95,288.50,294.91,173976000,762905000
2017-11-15,271.17,297.92,271.17,290.56,89937200,710792000
2017-11-14,265.58,275.89,263.64,271.44,52265100,694229000
2017-11-13,298.73,298.73,258.33,265.45,115940000,778787000
2017-11-12,253.63,288.67,231.68,288.67,119639000,659346000
2017-11-11,238.16,269.72,236.25,253.60,68016100,617454000
2017-11-10,261.95,272.76,231.58,237.88,78740400,677262000
2017-11-09,250.55,270.18,244.14,262.00,86573400,645990000
2017-11-08,240.13,252.35,238.26,250.60,60804200,617406000
2017-11-07,228.75,245.02,228.27,240.87,55446200,586502000
2017-11-06,225.65,236.34,222.34,228.69,47873100,576941000
2017-11-05,230.32,232.77,224.34,225.35,38159100,587210000
2017-11-04,232.63,234.51,224.81,230.39,36530200,591459000
2017-11-03,217.88,240.39,216.45,232.63,48622200,552362000
2017-11-02,222.91,224.15,212.09,218.16,47381200,563565000
2017-11-01,233.93,233.93,220.32,222.41,47917100,589719000
2017-10-31,239.86,239.93,231.72,233.01,38363600,602974000
2017-10-30,233.63,244.42,229.00,241.22,50794000,585624000
2017-10-29,231.63,238.78,224.64,234.33,59020900,578982000
2017-10-28,243.72,246.68,231.06,231.07,45309100,607479000
2017-10-27,233.33,255.91,227.84,244.52,131517000,579905000
2017-10-26,217.36,235.65,217.36,233.67,41638100,538633000
2017-10-25,215.90,227.99,208.75,217.69,44717900,533463000
2017-10-24,206.59,227.38,205.07,216.04,37788300,509003000
2017-10-23,213.41,213.42,201.15,206.52,26665700,524261000
2017-10-22,212.82,219.28,208.30,213.73,26263000,521286000
2017-10-21,222.05,223.39,208.83,212.46,37115000,542326000
2017-10-20,230.20,234.22,222.52,222.52,29093800,560579000
2017-10-19,229.39,237.61,224.75,230.07,30300100,556979000
2017-10-18,231.15,239.31,217.17,229.30,29137800,559570000
2017-10-17,233.11,250.28,227.69,231.28,60696400,562642000
2017-10-16,231.96,235.96,230.45,233.01,22198300,558212000
2017-10-15,240.66,240.66,228.25,232.63,25648400,577433000
2017-10-14,240.05,242.13,238.07,240.89,21199600,574275000
2017-10-13,227.05,251.00,222.60,240.05,62551500,541560000
2017-10-12,236.44,236.99,227.00,227.00,39391300,562261000
2017-10-11,235.32,240.14,231.64,236.13,20522300,557915000
2017-10-10,229.71,242.36,226.36,235.66,27876900,542934000
2017-10-09,241.46,242.47,226.57,229.49,33586100,569009000
2017-10-08,253.52,256.20,240.55,241.06,30469500,595599000
2017-10-07,257.25,257.56,246.53,253.98,30163700,602523000
2017-10-06,254.85,272.76,253.32,257.61,49397500,595099000
2017-10-05,237.64,265.84,227.90,254.82,48244700,553211000
2017-10-04,253.00,253.14,237.34,237.91,22195500,587108000
2017-10-03,258.16,260.00,238.33,252.94,36278200,597264000
2017-10-02,264.51,273.77,254.74,257.60,52062000,610037000
2017-10-01,277.35,279.68,263.94,263.94,33546100,637677000
2017-09-30,289.96,292.60,275.43,277.53,37283500,664608000
2017-09-29,311.49,311.49,272.38,290.12,71232100,711727000
2017-09-28,285.65,413.06,281.97,310.60,296921000,650661000
2017-09-27,231.26,296.87,229.84,285.36,130957000,525065000
2017-09-26,230.70,234.59,228.74,231.47,20525600,522161000
2017-09-25,205.65,233.60,205.41,230.77,32460800,463963000
2017-09-24,204.02,207.69,199.50,205.63,15176600,458828000
2017-09-23,195.50,215.64,192.29,204.21,29531600,438281000
2017-09-22,175.53,203.67,174.99,195.84,43671100,392222000
2017-09-21,187.25,190.78,174.86,175.65,17620100,417102000
2017-09-20,186.99,192.84,183.26,187.86,12166600,415166000
2017-09-19,193.42,195.95,182.81,188.30,19791200,428072000
2017-09-18,174.01,193.16,174.01,193.16,27678900,383846000
2017-09-17,172.30,177.40,164.81,174.18,17358900,378861000
2017-09-16,181.10,184.53,165.55,172.46,22550100,396908000
2017-09-15,159.08,183.41,138.69,181.06,45620000,347512000
2017-09-14,197.68,204.79,158.83,158.88,35524600,430379000
2017-09-13,207.34,208.14,183.33,197.22,32634000,449957000
2017-09-12,207.90,221.41,203.27,207.77,26344600,449686000
2017-09-11,212.19,216.16,205.60,208.77,22339400,457445000
2017-09-10,213.30,220.22,195.84,212.91,26701400,458304000
2017-09-09,213.95,215.73,204.87,213.79,24960900,458172000
2017-09-08,247.40,247.40,206.16,213.99,30849900,528046000
2017-09-07,247.80,250.15,236.80,247.31,27100600,527118000
2017-09-06,227.81,248.71,225.62,247.01,29252500,482953000
2017-09-05,219.36,234.42,197.06,226.88,31113600,463446000
2017-09-04,260.66,260.66,199.72,218.34,41954600,548884000
2017-09-03,254.76,268.54,242.55,260.09,34128900,534636000
2017-09-02,304.72,307.83,246.19,254.03,52498700,637301000
2017-09-01,283.81,308.75,281.10,305.11,45352800,591510000
2017-08-31,272.12,283.58,268.83,283.29,26913900,565218000
