Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001610,0.001654,0.001498,0.001567,5513,1611320
2017-11-23,0.001726,0.001882,0.001540,0.001612,5720,1727380
2017-11-22,0.001702,0.001952,0.001634,0.001727,6900,1703520
2017-11-21,0.001720,0.001811,0.001543,0.001698,7543,1721450
2017-11-20,0.001770,0.001884,0.001545,0.001720,7963,1771530
2017-11-19,0.001790,0.001986,0.001578,0.001771,9307,1791470
2017-11-18,0.001844,0.001950,0.001710,0.001793,7912,1845950
2017-11-17,0.001885,0.001997,0.001775,0.001852,7628,1886300
2017-11-16,0.001753,0.002096,0.001629,0.001888,7725,1754890
2017-11-15,0.001839,0.001991,0.001676,0.001744,6984,1840250
2017-11-14,0.001632,0.002268,0.001632,0.001837,9226,1633000
2017-11-13,0.001351,0.001677,0.001340,0.001628,6549,1351690
2017-11-12,0.001586,0.001663,0.001252,0.001349,6029,1587240
2017-11-11,0.001764,0.001872,0.001385,0.001587,6723,1765340
2017-11-10,0.001711,0.001906,0.001301,0.001514,7215,1712320
2017-11-09,0.001718,0.001794,0.001645,0.001706,6333,1718940
2017-11-08,0.001563,0.001838,0.001538,0.001719,6467,1564400
2017-11-07,0.001529,0.001638,0.001529,0.001568,6220,1530480
2017-11-06,0.001773,0.001781,0.001419,0.001532,5729,1773990
2017-11-05,0.001695,0.001811,0.001609,0.001769,6033,1696070
2017-11-04,0.001792,0.002302,0.001548,0.001698,7446,1793000
2017-11-03,0.001335,0.001983,0.001327,0.001796,6036,1336060
2017-11-02,0.001681,0.001893,0.001140,0.001337,6370,1682670
2017-11-01,0.001741,0.001912,0.001597,0.001679,6512,1742640
2017-10-31,0.002238,0.002250,0.001725,0.001742,7429,2239860
2017-10-30,0.002233,0.002420,0.001820,0.002246,94065,2234900
2017-10-29,0.001934,0.002353,0.001803,0.002246,23689,1935850
2017-10-28,0.002192,0.002233,0.001687,0.001937,40497,2193640
2017-10-27,0.001944,0.002305,0.001943,0.002186,7510,1945760
2017-10-26,0.001554,0.001952,0.001423,0.001944,6561,1555090
2017-10-25,0.001158,0.001557,0.001154,0.001554,5568,1159400
2017-10-24,0.000999,0.001158,0.000947,0.001158,3647,999743
2017-10-23,0.001433,0.001570,0.000856,0.001001,4498,1434040
2017-10-22,0.001626,0.001697,0.001315,0.001435,5786,1627790
2017-10-21,0.001922,0.001982,0.001499,0.001626,7249,1923750
2017-10-20,0.002006,0.002226,0.001818,0.001926,7225,2007740
2017-10-19,0.001956,0.002123,0.001893,0.002006,6652,1957180
2017-10-18,0.001904,0.001964,0.001714,0.001955,6318,1905800
2017-10-17,0.002311,0.002365,0.001792,0.001904,5151,2313310
2017-10-16,0.002448,0.002448,0.002052,0.002311,8841,2449650
2017-10-15,0.002519,0.002527,0.002098,0.002447,9189,2520650
2017-10-14,0.002139,0.002516,0.002119,0.002514,9428,2141240
2017-10-13,0.002072,0.002270,0.002011,0.002139,7805,2073650
2017-10-12,0.001940,0.002137,0.001866,0.002066,8273,1941720
2017-10-11,0.001544,0.002175,0.001480,0.001942,9186,1544990
2017-10-10,0.001771,0.002101,0.001389,0.001543,6693,1772100
2017-10-09,0.001611,0.001830,0.001556,0.001771,5935,1611840
2017-10-08,0.001555,0.001696,0.001380,0.001610,5964,1556090
2017-10-07,0.001401,0.001563,0.001306,0.001559,6114,1401680
2017-10-06,0.001559,0.001605,0.001105,0.001400,5663,1559940
2017-10-05,0.001394,0.001575,0.001392,0.001559,5495,1395170
2017-10-04,0.001603,0.001604,0.001323,0.001393,5356,1603860
2017-10-03,0.001585,0.001636,0.001487,0.001599,5630,1586290
2017-10-02,0.001758,0.001779,0.001374,0.001585,6475,1759010
2017-10-01,0.001549,0.001783,0.001543,0.001758,6116,1550690
2017-09-30,0.001917,0.001935,0.001511,0.001549,6255,1918820
2017-09-29,0.001928,0.002040,0.001667,0.001917,7848,1930040
2017-09-28,0.002061,0.002440,0.001809,0.001930,6700,2062500
2017-09-27,0.001905,0.002069,0.001897,0.002061,7661,1906380
2017-09-26,0.001927,0.001959,0.001738,0.001910,6362,1928910
2017-09-25,0.001800,0.001982,0.001736,0.001928,7085,1800990
2017-09-24,0.001779,0.002071,0.001576,0.001801,7798,1780850
2017-09-23,0.001660,0.002040,0.001624,0.001780,7867,1660910
2017-09-22,0.001702,0.001837,0.001568,0.001664,6038,1703060
2017-09-21,0.001938,0.001980,0.001628,0.001704,6670,1939570
2017-09-20,0.001761,0.002043,0.001713,0.001948,7405,1762830
2017-09-19,0.002135,0.002202,0.001520,0.001725,7524,2136250
2017-09-18,0.001921,0.002415,0.001846,0.002129,9867,1922990
2017-09-17,0.002082,0.002082,0.001778,0.001925,9327,2084060
2017-09-16,0.001743,0.002198,0.001718,0.001862,7349,1744640
2017-09-15,0.001688,0.001870,0.001435,0.001748,6824,1689170
2017-09-14,0.002265,0.002285,0.001675,0.001675,7058,2267070
2017-09-13,0.002450,0.002469,0.002244,0.002265,7858,2451920
2017-09-12,0.002486,0.002612,0.002422,0.002459,9302,2488390
2017-09-11,0.002420,0.002593,0.002392,0.002487,9390,2421630
2017-09-10,0.002438,0.002760,0.002390,0.002424,10596,2439940
2017-09-09,0.002650,0.002707,0.002365,0.002444,9994,2652380
2017-09-08,0.002831,0.003154,0.002540,0.002645,11133,2832800
2017-09-07,0.002879,0.003860,0.002806,0.002830,14584,2881320
2017-09-06,0.003048,0.003985,0.002099,0.002873,98156,3050630
2017-09-05,0.003195,0.003195,0.002951,0.003045,10884,3197690
