Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.037588,0.041542,0.034627,0.038409,887616,43308100
2017-11-23,0.042299,0.043657,0.037485,0.037773,1175470,48736100
2017-11-22,0.042239,0.043207,0.040559,0.042203,1233610,48667000
2017-11-21,0.043223,0.046510,0.041520,0.042185,1014580,49858300
2017-11-20,0.042888,0.046269,0.041349,0.043290,2199500,49472600
2017-11-19,0.045126,0.047330,0.042051,0.042934,2175560,52054300
2017-11-18,0.041172,0.045463,0.040477,0.045243,723283,47492300
2017-11-17,0.039315,0.043179,0.039091,0.041234,498577,45351000
2017-11-16,0.039578,0.082173,0.038670,0.039343,1459170,45654500
2017-11-15,0.043259,0.043423,0.039236,0.039580,90879,49900300
2017-11-14,0.042071,0.044044,0.038305,0.043235,131520,48519600
2017-11-13,0.039505,0.043026,0.037343,0.042017,28821,45560000
2017-11-12,0.038483,0.041074,0.035819,0.039443,90006,44382300
2017-11-11,0.038644,0.041263,0.035630,0.038488,144843,44567500
2017-11-10,0.041694,0.044463,0.036540,0.038755,266776,48084500
2017-11-09,0.043134,0.044575,0.039960,0.044575,280231,49745900
2017-11-08,0.040949,0.044906,0.040785,0.043364,78375,47226300
2017-11-07,0.041476,0.045222,0.040419,0.040982,118821,47833500
2017-11-06,0.043139,0.046860,0.040305,0.041424,313780,-
2017-11-05,0.044942,0.044981,0.040532,0.043089,52470,-
2017-11-04,0.045513,0.045513,0.041660,0.044887,46289,-
2017-11-03,0.039794,0.046850,0.039794,0.045512,140640,-
2017-11-02,0.043505,0.043830,0.039323,0.039618,112726,-
2017-11-01,0.042863,0.045633,0.041036,0.043392,78356,-
2017-10-31,0.048972,0.049313,0.042936,0.042936,158776,-
2017-10-30,0.045685,0.049439,0.045669,0.048953,314283,-
2017-10-29,0.041215,0.049237,0.041129,0.045801,416842,-
2017-10-28,0.044214,0.046820,0.041113,0.041236,164211,-
2017-10-27,0.044341,0.050362,0.041050,0.044167,275545,-
2017-10-26,0.041883,0.047069,0.038769,0.044363,479472,-
2017-10-25,0.041723,0.047788,0.040754,0.041962,181761,-
2017-10-24,0.042563,0.046543,0.041649,0.041687,159549,-
2017-10-23,0.044348,0.046685,0.041172,0.042598,217380,-
2017-10-22,0.044746,0.050540,0.043836,0.044381,155289,-
2017-10-21,0.048198,0.050879,0.044019,0.044642,194080,-
2017-10-20,0.046326,0.054490,0.043207,0.048263,521084,-
2017-10-19,0.040773,0.052062,0.040321,0.046292,447824,-
2017-10-18,0.029296,0.044409,0.028616,0.043749,323715,-
2017-10-17,0.033461,0.035624,0.028454,0.029322,118863,-
2017-10-16,0.033735,0.034580,0.030345,0.033406,35654,-
2017-10-15,0.033919,0.037236,0.030292,0.033662,69240,-
2017-10-14,0.033850,0.037806,0.033386,0.033822,63652,-
2017-10-13,0.033870,0.033897,0.030230,0.033819,95286,-
