Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001687,0.002380,0.001656,0.001974,1364,145940
2017-11-23,0.001891,0.002643,0.001689,0.001689,765,163521
2017-11-22,0.001453,0.003295,0.001448,0.001892,4962,125544
2017-11-21,0.001558,0.001691,0.001436,0.001449,329,134581
2017-11-20,0.001523,0.001567,0.001508,0.001558,86,131532
2017-11-19,0.001527,0.001749,0.001510,0.001524,261,131769
2017-11-18,0.001514,0.001544,0.001469,0.001530,106,130556
2017-11-17,0.001537,0.001671,0.001496,0.001520,75,132507
2017-11-16,0.001457,0.001786,0.001424,0.001540,77,125503
2017-11-15,0.001253,0.001592,0.001253,0.001449,1036,107943
2017-11-14,0.001628,0.001643,0.001243,0.001253,933,140096
2017-11-13,0.001350,0.001633,0.001213,0.001624,545,116171
2017-11-12,0.001316,0.001410,0.001163,0.001348,200,113155
2017-11-11,0.001443,0.001627,0.001309,0.001559,138,124022
2017-11-10,0.001710,0.001755,0.001352,0.001448,139,146930
2017-11-09,0.001493,0.001847,0.001361,0.001705,778,128217
2017-11-08,0.001562,0.001619,0.001411,0.001495,818,134065
2017-11-07,0.001454,0.001630,0.001454,0.001567,237,124758
2017-11-06,0.001537,0.001699,0.001375,0.001525,539,131763
2017-11-05,0.001549,0.001719,0.001516,0.001533,211,132734
2017-11-04,0.001401,0.001591,0.001375,0.001552,98,120027
2017-11-03,0.001329,0.001593,0.001315,0.001406,209,113805
2017-11-02,0.001743,0.001805,0.001293,0.001331,1348,149133
2017-11-01,0.001863,0.002441,0.001640,0.001741,822,159366
2017-10-31,0.002265,0.002449,0.001303,0.001865,1405,193623
2017-10-30,0.002155,0.002901,0.001951,0.002273,4218,184145
2017-10-29,0.001890,0.002679,0.001856,0.001982,2424,161470
2017-10-28,0.002015,0.002557,0.001834,0.001893,1289,172030
2017-10-27,0.002943,0.004166,0.002007,0.002009,9342,251156
2017-10-26,0.000859,0.004125,0.000854,0.002942,41363,73262
2017-10-25,0.000938,0.001010,0.000846,0.000859,98,79990
2017-10-24,0.000938,0.001032,0.000890,0.000938,37,79985
2017-10-23,0.000959,0.001065,0.000854,0.000941,81,81653
2017-10-22,0.001022,0.001368,0.000879,0.000960,590,87046
2017-10-21,0.000898,0.001400,0.000892,0.001022,514,76434
2017-10-20,0.001071,0.001075,0.000845,0.000900,293,91055
2017-10-19,0.001171,0.001171,0.000944,0.001070,681,99567
2017-10-18,0.001288,0.001325,0.000970,0.001171,2446,109464
2017-10-17,0.001531,0.001535,0.001243,0.001288,268,129997
2017-10-16,0.001302,0.001538,0.001231,0.001530,372,110509
2017-10-15,0.001343,0.001367,0.001246,0.001302,180,113928
2017-10-14,0.001301,0.001381,0.001289,0.001340,95,110319
2017-10-13,0.001296,0.001347,0.001239,0.001300,108,109902
2017-10-12,0.001158,0.001343,0.001155,0.001292,252,98128
2017-10-11,0.001381,0.001385,0.001099,0.001157,333,116965
2017-10-10,0.001241,0.001329,0.001120,0.001286,705,105004
2017-10-09,0.001381,0.001530,0.000831,0.001287,2161,116818
2017-10-08,0.001516,0.001577,0.001321,0.001380,1051,128165
2017-10-07,0.001662,0.001751,0.001438,0.001520,640,140419
2017-10-06,0.001902,0.002032,0.001473,0.001661,6236,160705
2017-10-05,0.002026,0.002115,0.001778,0.001902,1058,171097
2017-10-04,0.001944,0.002291,0.001861,0.002025,21475,164046
2017-10-03,0.002194,0.002333,0.001809,0.001939,934,185095
2017-10-02,0.002104,0.002522,0.002038,0.002194,1639,177423
2017-10-01,0.002341,0.002355,0.002025,0.002105,745,197267
2017-09-30,0.002128,0.002467,0.002022,0.002340,1544,179203
2017-09-29,0.002264,0.002272,0.002064,0.002127,830,190582
2017-09-28,0.002146,0.002561,0.002087,0.002140,2107,180557
2017-09-27,0.002061,0.002171,0.001991,0.002146,651,173324
2017-09-26,0.002242,0.002257,0.001996,0.002067,1391,188403
2017-09-25,0.002130,0.002680,0.001779,0.002242,9201,178939
2017-09-24,0.001894,0.002304,0.001751,0.001875,2264,159027
2017-09-23,0.001908,0.002645,0.001825,0.001894,5478,160137
2017-09-22,0.001581,0.002973,0.001221,0.001914,6389,132561
2017-09-21,0.001552,0.001691,0.001415,0.001582,998,130083
2017-09-20,0.001451,0.001746,0.001428,0.001559,719,121565
2017-09-19,0.001681,0.001852,0.001453,0.001453,1281,140779
