Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.018898,0.020127,0.018420,0.019111,94091,11338800
2017-11-23,0.019349,0.019950,0.018780,0.018929,54363,11609300
2017-11-22,0.018923,0.019817,0.018464,0.019347,84097,11353900
2017-11-21,0.019603,0.020432,0.017214,0.019101,168157,11761700
2017-11-20,0.018919,0.019656,0.018214,0.019194,67508,11351600
2017-11-19,0.019289,0.019517,0.018475,0.019000,51621,11573400
2017-11-18,0.019023,0.020447,0.018326,0.019606,72651,11413900
2017-11-17,0.018827,0.020855,0.018590,0.019091,130747,11296100
2017-11-16,0.020297,0.020679,0.018832,0.019070,99240,12178000
2017-11-15,0.019649,0.021022,0.019197,0.020198,53250,11789600
2017-11-14,0.019528,0.020317,0.018515,0.019817,55459,11716800
2017-11-13,0.017215,0.020112,0.017140,0.019493,62643,10329200
2017-11-12,0.020103,0.022883,0.016804,0.017296,281023,12061600
2017-11-11,0.019050,0.022269,0.018802,0.020295,193843,11430200
2017-11-10,0.022021,0.022537,0.018169,0.019116,93115,13212600
2017-11-09,0.022421,0.022942,0.020019,0.021959,201802,13452700
2017-11-08,0.018917,0.022457,0.018917,0.022238,148621,11350100
2017-11-07,0.019349,0.020140,0.018593,0.018970,54951,11609500
2017-11-06,0.019495,0.021092,0.018329,0.019488,231852,11696900
2017-11-05,0.019950,0.025971,0.018333,0.019455,392666,11969800
2017-11-04,0.021198,0.021990,0.019971,0.019971,163061,12718600
2017-11-03,0.022539,0.023128,0.020604,0.021244,128136,13523300
2017-11-02,0.025306,0.033554,0.019173,0.021818,665476,15183400
2017-11-01,0.028945,0.049229,0.025122,0.025341,2610860,17367200
2017-10-31,0.027870,0.033163,0.026235,0.029290,772822,16722000
2017-10-30,0.029573,0.030244,0.027411,0.027954,65367,17743800
2017-10-29,0.028334,0.034745,0.027237,0.029737,94300,17000600
2017-10-28,0.025386,0.033269,0.025386,0.028423,240968,15231600
2017-10-27,0.026993,0.027627,0.025406,0.026065,27282,16196000
2017-10-26,0.027351,0.028130,0.025236,0.026990,40866,16410400
2017-10-25,0.027260,0.028503,0.025160,0.026890,58713,16356200
2017-10-24,0.024506,0.030948,0.023888,0.027248,83871,14703700
2017-10-23,0.027170,0.027661,0.023806,0.024558,87347,16301900
2017-10-22,0.028123,0.029014,0.026674,0.027208,39272,16873500
2017-10-21,0.030757,0.031689,0.026449,0.028115,88173,18454300
2017-10-20,0.031234,0.033984,0.030408,0.031342,117296,18740700
2017-10-19,0.032485,0.033776,0.029859,0.031228,128707,19491000
2017-10-18,0.037539,0.039055,0.029240,0.032474,412276,22523500
2017-10-17,0.037936,0.069060,0.033361,0.037251,2935520,22761400
2017-10-16,0.029383,0.046816,0.027458,0.037505,432536,17629700
2017-10-15,0.031292,0.031292,0.027422,0.028999,20724,18775300
