Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,8563.93,10778.00,7635.77,8744.47,3825,426320
2017-11-23,8088.35,8735.26,7785.10,8527.58,631,402499
2017-11-22,7327.30,8213.54,7278.86,8093.83,17225,381920
2017-11-21,8381.06,10693.50,7190.46,7316.88,27626,414098
2017-11-20,8429.67,9123.08,7555.29,8349.49,18722,416616
2017-11-19,8107.33,9446.67,8107.33,8415.99,2215,394803
2017-11-18,8393.69,9430.51,7965.15,8117.30,22802,393734
2017-11-17,8328.38,9103.88,7530.00,8381.33,11716,383631
2017-11-16,7027.57,8763.22,7027.57,8558.01,50102,351453
2017-11-15,7010.21,8146.65,6879.30,7003.19,14476,358955
2017-11-14,7361.27,7491.78,6398.36,7046.66,7856,361911
2017-11-13,6565.37,7433.37,6358.44,7433.37,14284,325227
2017-11-12,7111.05,7342.15,6061.63,6525.67,5311,345919
2017-11-11,6986.94,7318.82,6740.29,7091.20,23776,327145
2017-11-10,8298.12,8298.12,6823.88,7007.71,24039,382665
2017-11-09,7989.77,8356.78,7594.84,8290.96,70674,343264
2017-11-08,7878.10,8825.95,7194.11,8001.10,93997,356113
2017-11-07,7701.42,8254.98,7611.47,7884.81,30270,340573
2017-11-06,8067.35,8156.98,7637.59,7707.51,13734,355572
2017-11-05,7467.13,8260.43,7012.85,8073.62,13101,330389
2017-11-04,7774.83,7861.36,7221.97,7458.71,26329,336497
2017-11-03,7564.57,8278.82,7374.39,7789.06,61204,341915
2017-11-02,6707.29,7661.48,6609.02,7546.80,153215,304291
2017-11-01,6839.55,8185.34,6582.70,6691.72,30737,344112
2017-10-31,6200.80,7829.89,6200.80,6866.60,39656,280559
2017-10-30,6290.58,6538.13,5845.34,6205.08,6125,284590
2017-10-29,5830.03,6317.58,5798.23,6306.51,19795,264487
2017-10-28,6137.88,6232.26,5774.77,5832.84,8683,278453
2017-10-27,6012.18,6386.37,5980.56,6135.94,5248,273640
2017-10-26,5643.41,6478.78,5610.92,6015.86,8997,256465
2017-10-25,6385.62,6423.50,5419.98,5652.91,6725,292498
2017-10-24,6348.32,6656.34,6261.60,6388.59,19353,288520
2017-10-23,6984.38,6984.38,6047.63,6350.40,13137,317852
2017-10-22,6500.39,7014.14,5805.36,6979.82,8749,296100
2017-10-21,6485.69,6851.70,6395.93,6545.71,46687,297300
2017-10-20,6192.59,6695.97,5130.07,6510.80,38153,281359
2017-10-19,5627.36,6217.58,5627.36,6196.48,14157,261661
2017-10-18,5815.17,6333.98,5346.80,5642.85,14335,268067
2017-10-17,5597.63,5955.55,5597.63,5815.48,16673,260436
