Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.040613,0.041195,0.038334,0.040438,2222160,24367500
2017-11-23,0.041296,0.042529,0.040758,0.040778,2485380,24777600
2017-11-22,0.041274,0.042131,0.040377,0.041082,2379550,24764300
2017-11-21,0.044290,0.044634,0.040600,0.041389,2781370,26573800
2017-11-20,0.040948,0.051729,0.040948,0.044394,6305500,24569000
2017-11-19,0.037750,0.046043,0.036546,0.040888,3471210,22649900
2017-11-18,0.034957,0.039660,0.033586,0.037556,2256460,20974200
2017-11-17,0.038839,0.039456,0.034923,0.035060,1951320,23303600
2017-11-16,0.039677,0.039934,0.037631,0.038869,2169240,23806000
2017-11-15,0.038491,0.041886,0.037779,0.039452,2181580,23094800
2017-11-14,0.038131,0.039094,0.036535,0.038520,1955830,22878400
2017-11-13,0.035019,0.040972,0.035019,0.037989,1665240,21011300
2017-11-12,0.040517,0.040517,0.031984,0.034751,1752970,24310500
2017-11-11,0.041340,0.043538,0.038926,0.040396,2076780,24803700
2017-11-10,0.048597,0.050117,0.040072,0.041640,2565940,29157900
2017-11-09,0.047350,0.055480,0.046046,0.049230,4443080,28409800
2017-11-08,0.038829,0.049953,0.038233,0.047552,3437100,23297100
2017-11-07,0.040865,0.041633,0.038227,0.039001,2049500,24519300
2017-11-06,0.037327,0.043106,0.036555,0.040964,2433360,22396200
2017-11-05,0.038571,0.038571,0.036476,0.037179,1807190,23142500
2017-11-04,0.038489,0.038969,0.036051,0.038224,1856090,23093700
2017-11-03,0.036369,0.039069,0.034488,0.038483,1900500,21821100
2017-11-02,0.036512,0.038446,0.034150,0.036505,1986010,21907400
2017-11-01,0.042318,0.042522,0.036572,0.036572,2247830,25390500
2017-10-31,0.047413,0.049212,0.042082,0.042506,2568120,28447600
2017-10-30,0.044021,0.050536,0.043283,0.047102,3158040,26412400
2017-10-29,0.043252,0.046144,0.042306,0.044062,2883990,25951100
2017-10-28,0.051760,0.051760,0.042938,0.043518,2868770,31056100
2017-10-27,0.054263,0.055019,0.050073,0.051787,3053790,32557800
2017-10-26,0.058336,0.061722,0.052730,0.054106,3418210,35001500
2017-10-25,0.068952,0.068952,0.057326,0.058246,4498510,41371300
2017-10-24,0.064104,0.080067,0.061413,0.068618,6691940,38462300
2017-10-23,0.066419,0.069357,0.057907,0.064116,4113780,39851300
2017-10-22,0.059003,0.069379,0.057600,0.066408,5199930,35402100
2017-10-21,0.071289,0.083222,0.052802,0.058339,11088500,42773200
2017-10-20,0.052338,0.071851,0.049340,0.070708,8682000,31402700
2017-10-19,0.039683,0.054369,0.039085,0.052435,4136590,23809900
2017-10-18,0.038293,0.039804,0.036334,0.039759,1950560,22975600
2017-10-17,0.044694,0.046441,0.037949,0.038548,2306250,26816200
2017-10-16,0.051404,0.052019,0.043279,0.044471,2701220,30842600
2017-10-15,0.070000,0.090036,0.045630,0.051551,6221440,41999700
2017-10-14,0.032832,0.069309,0.032755,0.069309,921853,19699100
2017-10-13,0.036992,0.036992,0.031712,0.032178,419247,22195500
2017-10-12,0.037768,0.039695,0.035074,0.037013,389822,22660900
2017-10-11,0.036455,0.039496,0.036455,0.037912,396965,21873100
2017-10-10,0.036670,0.037304,0.035464,0.036352,440860,22002100
2017-10-09,0.039263,0.040568,0.035448,0.036118,483915,23557900
2017-10-08,0.044838,0.045829,0.038890,0.039596,444014,26902700
2017-10-07,0.047682,0.047862,0.043437,0.044891,458464,28609100
2017-10-06,0.048012,0.050063,0.046451,0.047712,503372,28807300
2017-10-05,0.049924,0.050501,0.047076,0.047976,443773,29954300
2017-10-04,0.047600,0.051945,0.046789,0.049891,538490,28560000
2017-10-03,0.055717,0.056425,0.043994,0.047434,841792,33430400
2017-10-02,0.048156,0.057795,0.046796,0.055509,933650,28893400
2017-10-01,0.047845,0.050364,0.045756,0.047825,587630,28707100
2017-09-30,0.040457,0.047979,0.040351,0.047508,487970,24274100
2017-09-29,0.046023,0.046076,0.039152,0.040592,494011,27613800
2017-09-28,0.047497,0.049136,0.044069,0.046068,468590,28498200
2017-09-27,0.037685,0.051697,0.036676,0.047052,711215,22610900
2017-09-26,0.039131,0.040612,0.036201,0.037790,428580,23478900
2017-09-25,0.033985,0.039775,0.033868,0.039253,513796,20390900
2017-09-24,0.038447,0.039471,0.033751,0.034170,378120,23068300
2017-09-23,0.036493,0.038668,0.035650,0.038565,335854,21895700
2017-09-22,0.035434,0.056295,0.033092,0.036488,343870,21260200
2017-09-21,0.040693,0.042047,0.033636,0.035334,635622,24415800
2017-09-20,0.039832,0.070745,0.039354,0.041053,500317,23899200
2017-09-19,0.043601,0.043980,0.038324,0.039933,487924,26160300
2017-09-18,0.042440,0.047247,0.041964,0.042849,478692,25464300
2017-09-17,0.044264,0.044899,0.041209,0.042460,268366,26558200
2017-09-16,0.052778,0.052790,0.041404,0.044395,467627,31666900
2017-09-15,0.035301,0.050473,0.031009,0.050473,621230,21180900
2017-09-14,0.042338,0.043328,0.033055,0.035120,469622,25402700
2017-09-13,0.049963,0.050798,0.038395,0.041131,653746,29978100
2017-09-12,0.051846,0.055934,0.049523,0.049907,704886,31107600
2017-09-11,0.058106,0.058493,0.050059,0.051911,772181,34863400
2017-09-10,0.061808,0.061863,0.054858,0.057968,571372,37084600
2017-09-09,0.062245,0.064803,0.058251,0.061366,564833,37347100
2017-09-08,0.071715,0.134379,0.056622,0.062476,782108,43028900
2017-09-07,0.073210,0.076467,0.067437,0.074184,1124070,43926200
2017-09-06,0.069470,0.078664,0.069283,0.073034,1068510,41681800
2017-09-05,0.066011,0.071747,0.058008,0.069665,1125460,39606800
2017-09-04,0.091037,0.093303,0.052453,0.066214,1678800,54622400
2017-09-03,0.083079,0.094647,0.072920,0.090513,1503230,49847400
2017-09-02,0.086503,0.090045,0.073757,0.082705,1333710,51901900
2017-09-01,0.111527,0.112378,0.083861,0.086394,2319130,66916400
2017-08-31,0.110259,0.127284,0.098338,0.111031,2298490,66155200
2017-08-30,0.109596,0.110908,0.091783,0.110577,2674230,65757800
2017-08-29,0.130420,0.130420,0.109419,0.110436,2168480,78251800
2017-08-28,0.134418,0.135371,0.115262,0.129418,2431000,80650700
2017-08-27,0.137742,0.162886,0.129784,0.134479,3406810,82645000
2017-08-26,0.120390,0.136280,0.114624,0.136280,2164480,72233800
2017-08-25,0.146552,0.162127,0.119329,0.120034,2790640,87931300
2017-08-24,0.142492,0.160901,0.139767,0.148134,2802790,85495400
2017-08-23,0.168603,0.173676,0.131380,0.139432,3850250,101162000
2017-08-22,0.197746,0.197746,0.136344,0.170682,6830020,118648000
2017-08-21,0.242319,0.261498,0.184282,0.197774,8206680,145391000
2017-08-20,0.176636,0.257331,0.165119,0.257331,7091820,105982000
2017-08-19,0.160665,0.181790,0.135437,0.174822,6417990,96398700
2017-08-18,0.128668,0.160527,0.120707,0.159238,5461690,77200500
2017-08-17,0.148403,0.152524,0.125403,0.129500,3245070,89041600
2017-08-16,0.140152,0.167440,0.124014,0.148395,4019170,84091100
2017-08-15,0.170467,0.173823,0.132964,0.142708,6063050,102280000
2017-08-14,0.091006,0.185669,0.088502,0.170640,9015780,54603700
2017-08-13,0.082345,0.093079,0.073918,0.090571,2057130,49406900
2017-08-12,0.086645,0.097637,0.070346,0.082309,2391150,51987200
2017-08-11,0.059205,0.098248,0.059205,0.084747,5345970,35523100
2017-08-10,0.036578,0.065518,0.034908,0.058238,4150970,21947000
2017-08-09,0.024967,0.036884,0.024967,0.035532,1651950,14980200
2017-08-08,0.025753,0.026181,0.019153,0.026181,972596,15452100
2017-08-07,0.026162,0.026162,0.022468,0.025697,1122250,15697200
2017-08-06,0.019364,0.033098,0.019321,0.026400,2683390,11618500
2017-08-05,0.017493,0.019874,0.016233,0.019226,573192,-
2017-08-04,0.015633,0.025276,0.013642,0.017548,310904,-
2017-08-03,0.018737,0.018737,0.013456,0.015591,30593,-
