Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.154275,0.165019,0.150585,0.163586,62636,2397570
2017-11-23,0.175465,0.178494,0.150679,0.158077,215067,2726670
2017-11-22,0.144690,0.189555,0.141560,0.179456,780342,2248280
2017-11-21,0.152776,0.153043,0.140270,0.144340,35938,2373740
2017-11-20,0.150617,0.161184,0.147234,0.154372,21752,2340020
2017-11-19,0.148191,0.152873,0.144605,0.150688,19097,2302180
2017-11-18,0.144500,0.156846,0.138779,0.148523,44882,2244670
2017-11-17,0.147120,0.153797,0.141162,0.145057,27404,2285210
2017-11-16,0.156802,0.158298,0.143228,0.149223,47531,2435420
2017-11-15,0.138222,0.164586,0.138222,0.155984,77357,2146680
2017-11-14,0.143790,0.148100,0.130899,0.138133,75850,2233000
2017-11-13,0.118131,0.160190,0.112995,0.143517,156250,1834390
2017-11-12,0.147679,0.147679,0.112371,0.117258,80476,2293070
2017-11-11,0.172324,0.188541,0.132660,0.147852,267859,2675560
2017-11-10,0.312478,0.312478,0.156560,0.174712,1828770,4851280
2017-11-09,0.124859,0.318256,0.121140,0.301348,1846250,1938310
2017-11-08,0.124223,0.143976,0.117794,0.124992,203829,1928280
2017-11-07,0.116173,0.124717,0.116173,0.124614,8261,1803220
2017-11-06,0.119135,0.122187,0.113061,0.116360,14255,1849040
2017-11-05,0.119152,0.140812,0.117937,0.118871,40206,1849180
2017-11-04,0.110478,0.128026,0.107947,0.119378,11333,1714430
2017-11-03,0.111270,0.138351,0.106551,0.110766,44594,1726610
2017-11-02,0.115184,0.127107,0.110988,0.111415,50764,1787210
2017-11-01,0.115756,0.119304,0.111595,0.115056,8262,1795950
2017-10-31,0.125628,0.125984,0.108619,0.115841,35492,1948970
2017-10-30,0.116200,0.136261,0.112140,0.125262,162357,1802580
2017-10-29,0.105472,0.118198,0.105120,0.116877,12980,1636040
2017-10-28,0.112208,0.114614,0.105097,0.105616,12319,1740400
2017-10-27,0.114805,0.119747,0.106031,0.111904,36042,1780550
2017-10-26,0.119569,0.135773,0.113112,0.114779,56601,1854300
2017-10-25,0.108690,0.129597,0.102588,0.119167,74650,1685470
2017-10-24,0.098740,0.116396,0.088809,0.108594,36973,1531060
2017-10-23,0.104143,0.107900,0.096491,0.097992,7097,1614720
2017-10-22,0.109458,0.109851,0.100211,0.104308,8849,1697000
2017-10-21,0.118522,0.118522,0.106909,0.108196,10426,1837400
2017-10-20,0.111000,0.122746,0.103683,0.115197,31613,1720670
2017-10-19,0.108537,0.114318,0.104511,0.113639,12184,1682360
2017-10-18,0.103972,0.109405,0.097280,0.108881,11038,1611480
2017-10-17,0.109801,0.110115,0.097207,0.103908,12121,1701710
2017-10-16,0.114994,0.116319,0.105351,0.109784,26796,1782060
2017-10-15,0.107705,0.120334,0.101004,0.114131,68055,1668970
2017-10-14,0.116014,0.118905,0.104458,0.107512,35467,1797610
2017-10-13,0.106708,0.175774,0.103946,0.120581,460649,1653300
2017-10-12,0.092607,0.140996,0.091905,0.107452,170765,1434710
2017-10-11,0.088388,0.094718,0.086210,0.092529,23274,1369240
2017-10-10,0.087020,0.096321,0.084549,0.088402,28240,1347940
2017-10-09,0.087133,0.094850,0.080646,0.087026,65519,1349610
2017-10-08,0.102197,0.131355,0.083496,0.088731,147613,1582820
2017-10-07,0.105830,0.105879,0.096690,0.102471,8038,1638970
2017-10-06,0.103027,0.117403,0.102817,0.105002,35929,1595460
2017-10-05,0.102397,0.108717,0.100793,0.103028,5165,1585570
2017-10-04,0.104939,0.109014,0.101810,0.102756,7263,1624830
2017-10-03,0.109746,0.110855,0.101413,0.104696,10707,1699140
2017-10-02,0.111553,0.114302,0.107181,0.109742,7285,1726990
2017-10-01,0.114795,0.115081,0.107282,0.111603,12971,1777040
2017-09-30,0.104362,0.118508,0.104264,0.113698,19645,1615440
2017-09-29,0.107322,0.109724,0.102298,0.104350,15735,1661130
2017-09-28,0.116299,0.116483,0.105053,0.105407,145602,1799950
2017-09-27,0.110944,0.119806,0.108933,0.116300,45115,1716950
2017-09-26,0.105029,0.111141,0.104099,0.111081,12812,1625270
2017-09-25,0.097507,0.107507,0.097440,0.105036,16182,1508760
2017-09-24,0.103137,0.106599,0.095396,0.099261,17307,1595760
2017-09-23,0.099169,0.105745,0.092140,0.103146,22043,1534240
2017-09-22,0.097007,0.108261,0.089258,0.099446,30150,1500670
2017-09-21,0.110957,0.114825,0.092498,0.097118,37793,1716360
2017-09-20,0.097298,0.124939,0.094255,0.111541,142959,1504970
2017-09-19,0.100859,0.101395,0.091929,0.095721,8019,1559950
2017-09-18,0.090109,0.102384,0.090109,0.100616,19964,1393590
2017-09-17,0.084755,0.091255,0.079367,0.090289,21985,1310680
2017-09-16,0.087365,0.091013,0.081220,0.084812,32025,1350940
2017-09-15,0.078900,0.090688,0.069798,0.087593,18343,1219970
2017-09-14,0.095622,0.100066,0.078290,0.078290,20107,1478410
2017-09-13,0.102781,0.103155,0.090084,0.095617,27791,1588980
2017-09-12,0.102646,0.107880,0.100369,0.103173,6756,1586800
2017-09-11,0.102973,0.105865,0.097821,0.102561,7727,1591720
2017-09-10,0.104120,0.104734,0.095261,0.103148,11899,1609340
2017-09-09,0.105623,0.108026,0.101670,0.104389,14092,1632440
2017-09-08,0.117998,0.120880,0.101300,0.105419,121473,1823570
2017-09-07,0.125393,0.125393,0.110887,0.117975,30773,1937710
2017-09-06,0.124691,0.134001,0.116804,0.125633,12922,1926730
2017-09-05,0.109184,0.128115,0.107010,0.124546,21550,1686990
2017-09-04,0.133228,0.135446,0.105289,0.112477,41655,2058340
2017-09-03,0.136259,0.141316,0.127536,0.133188,16648,2105010
2017-09-02,0.148289,0.149007,0.132974,0.136110,7963,2290700
2017-09-01,0.138808,0.153779,0.131729,0.148111,90619,2144100
2017-08-31,0.134935,0.148090,0.133192,0.138355,25035,2084110
2017-08-30,0.142061,0.143554,0.129169,0.135175,36018,2194010
2017-08-29,0.129391,0.142624,0.124749,0.142251,113577,1998200
2017-08-28,0.136611,0.136611,0.117296,0.129171,65023,2109550
2017-08-27,0.120161,0.168942,0.114025,0.137317,449399,1855380
2017-08-26,0.118681,0.121342,0.113901,0.120188,9743,1832400
2017-08-25,0.114530,0.124289,0.109674,0.118645,38205,1768190
2017-08-24,0.105018,0.115109,0.102695,0.114711,9695,1621200
2017-08-23,0.107405,0.110681,0.098922,0.104972,10926,1657930
2017-08-22,0.111046,0.111046,0.099980,0.107624,24019,1714030
2017-08-21,0.110359,0.116931,0.103519,0.112653,37852,1703300
2017-08-20,0.111344,0.114040,0.104931,0.110779,12602,1718340
