DATE,OPEN,HIGH,LOW,CLOSE,VOL,P,R,RINFO
20150401,0.000400,0.000458,0.000170,0.000242,65525,0,0,0
20150402,0.000242,0.000323,0.000227,0.000314,28549,0,0,0
20150403,0.000309,0.000330,0.000291,0.000310,20678,0,0,0
20150404,0.000310,0.000318,0.000251,0.000277,23550,0,0,0
20150405,0.000272,0.000283,0.000218,0.000232,26800,0,0,0
20150406,0.000232,0.000299,0.000229,0.000289,22512,0,0,0
20150407,0.000288,0.000288,0.000234,0.000241,14437,0,0,0
20150408,0.000245,0.000259,0.000223,0.000228,6933,0,0,0
20150409,0.000228,0.000239,0.000213,0.000224,10014,0,0,0
20150410,0.000224,0.000227,0.000167,0.000175,16846,0,0,0
20150411,0.000175,0.000192,0.000143,0.000163,22846,0,0,0
20150412,0.000163,0.000173,0.000144,0.000146,5569,0,0,0
20150413,0.000146,0.000155,0.000123,0.000139,11803,0,0,0
20150414,0.000139,0.000178,0.000137,0.000153,14654,0,0,0
20150415,0.000156,0.000172,0.000146,0.000155,8196,0,0,0
20150416,0.000155,0.000174,0.000155,0.000163,5317,0,0,0
20150417,0.000168,0.000172,0.000160,0.000167,4556,0,0,0
20150418,0.000167,0.000170,0.000141,0.000141,9117,0,0,0
20150419,0.000141,0.000160,0.000137,0.000147,7193,0,0,0
20150420,0.000147,0.000150,0.000128,0.000133,6681,0,0,0
20150421,0.000133,0.000148,0.000129,0.000137,3912,0,0,0
20150422,0.000137,0.000149,0.000129,0.000138,2353,0,0,0
20150423,0.000138,0.000147,0.000133,0.000137,2117,0,0,0
20150424,0.000137,0.000150,0.000132,0.000150,3058,0,0,0
20150425,0.000149,0.000150,0.000137,0.000140,2480,0,0,0
20150426,0.000140,0.000141,0.000127,0.000134,2074,0,0,0
20150427,0.000134,0.000168,0.000134,0.000163,6660,0,0,0
20150428,0.000160,0.000163,0.000146,0.000149,3358,0,0,0
20150429,0.000149,0.000152,0.000142,0.000147,2013,0,0,0
20150430,0.000147,0.000160,0.000147,0.000157,959,0,0,0
20150501,0.000157,0.000158,0.000153,0.000156,692,0,0,0
20150502,0.000153,0.000158,0.000146,0.000155,1543,0,0,0
20150503,0.000155,0.000158,0.000142,0.000149,4417,0,0,0
20150504,0.000149,0.000157,0.000142,0.000151,2595,0,0,0
20150505,0.000151,0.000153,0.000137,0.000141,3974,0,0,0
20150506,0.000141,0.000146,0.000139,0.000143,1125,0,0,0
20150507,0.000142,0.000160,0.000142,0.000156,2475,0,0,0
20150508,0.000156,0.000160,0.000147,0.000155,1043,0,0,0
20150509,0.000155,0.000155,0.000150,0.000150,623,0,0,0
20150510,0.000150,0.000159,0.000146,0.000151,1774,0,0,0
20150511,0.000151,0.000155,0.000140,0.000155,3367,0,0,0
20150512,0.000155,0.000166,0.000147,0.000165,4765,0,0,0
20150513,0.000165,0.000174,0.000158,0.000159,4187,0,0,0
20150514,0.000159,0.000169,0.000155,0.000160,1647,0,0,0
20150515,0.000160,0.000165,0.000154,0.000164,1260,0,0,0
20150516,0.000164,0.000178,0.000155,0.000156,4958,0,0,0
20150517,0.000155,0.000162,0.000155,0.000160,1049,0,0,0
20150518,0.000160,0.000178,0.000159,0.000169,12653,0,0,0
20150519,0.000166,0.000181,0.000164,0.000171,9163,0,0,0
20150520,0.000171,0.000179,0.000167,0.000172,8928,0,0,0
20150521,0.000172,0.000185,0.000170,0.000172,7586,0,0,0
20150522,0.000172,0.000183,0.000168,0.000177,4136,0,0,0
20150523,0.000177,0.000187,0.000175,0.000177,4560,0,0,0
