Date,euro_dollar_exchange_rate
1999-01-04,0.842695
1999-01-05,0.850335
1999-01-06,0.859952
1999-01-07,0.856112
1999-01-08,0.865177
1999-01-11,0.866517
1999-01-12,0.865007
1999-01-13,0.855438
1999-01-14,0.85567
1999-01-15,0.863015
1999-01-18,0.861571
1999-01-19,0.861329
1999-01-20,0.864096
1999-01-21,0.863354
1999-01-22,0.863924
1999-01-25,0.864959
1999-01-26,0.864382
1999-01-27,0.871384
1999-01-28,0.877544
1999-01-29,0.878858
1999-02-01,0.885271
1999-02-02,0.882702
1999-02-03,0.881373
1999-02-04,0.884959
1999-02-05,0.886191
1999-02-08,0.88459
1999-02-09,0.884788
1999-02-10,0.882189
1999-02-11,0.884111
1999-02-12,0.88631
1999-02-15,0.888932
1999-02-16,0.894196
1999-02-17,0.890815
1999-02-18,0.891277
1999-02-19,0.90307
1999-02-22,0.90605
1999-02-23,0.909297
1999-02-24,0.910714
1999-02-25,0.9034
1999-02-26,0.909478
1999-03-01,0.918547
1999-03-02,0.91564
1999-03-03,0.917999
1999-03-04,0.924457
1999-03-05,0.922701
1999-03-08,0.91792
1999-03-09,0.92018
1999-03-10,0.912532
1999-03-11,0.915552
1999-03-12,0.913938
1999-03-15,0.915164
1999-03-16,0.915724
1999-03-17,0.908114
1999-03-18,0.909033
1999-03-19,0.915585
1999-03-22,0.916581
1999-03-23,0.915484
1999-03-24,0.914749
1999-03-25,0.91979
1999-03-26,0.93069
1999-03-29,0.93357
1999-03-30,0.932282
1999-03-31,0.925798
1999-04-01,0.927713
1999-04-05,0.93368
1999-04-06,0.92233
1999-04-07,0.927581
1999-04-08,0.922617
1999-04-09,0.927035
1999-04-12,0.922138
1999-04-13,0.927567
1999-04-14,0.927206
1999-04-15,0.93358
1999-04-16,0.936105
1999-04-19,0.942813
1999-04-20,0.940828
1999-04-21,0.942735
1999-04-22,0.943972
1999-04-23,0.941098
1999-04-26,0.943788
1999-04-27,0.93856
1999-04-28,0.941924
1999-04-29,0.944301
1999-04-30,0.946903
1999-05-03,0.946533
1999-05-04,0.944318
1999-05-05,0.931821
1999-05-06,0.927554
1999-05-07,0.926736
1999-05-10,0.926883
1999-05-11,0.931897
1999-05-12,0.938052
1999-05-13,0.941919
1999-05-14,0.939196
1999-05-17,0.936675
1999-05-18,0.936591
1999-05-19,0.940218
1999-05-20,0.940862
1999-05-21,0.946113
1999-05-25,0.943803
1999-05-26,0.955457
1999-05-27,0.958399
1999-05-28,0.958852
1999-05-31,0.957837
1999-06-01,0.957854
1999-06-02,0.964564
1999-06-03,0.96677
1999-06-04,0.96805
1999-06-07,0.970769
1999-06-08,0.95765
1999-06-09,0.957318
1999-06-10,0.954702
1999-06-11,0.95085
1999-06-14,0.960562
1999-06-15,0.95922
1999-06-16,0.97059
1999-06-17,0.967549
1999-06-18,0.964297
1999-06-21,0.969298
1999-06-22,0.968346
1999-06-23,0.969214
1999-06-24,0.964296
1999-06-25,0.957111
1999-06-28,0.963435
1999-06-29,0.96723
